"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income"
6102912,"Regular Season",2024-04-29,2024-07-04,"1:05 PM","Thu","new-york-yankees","cincinnati-reds",912,165,26,8851,4727,"New York Yankees","nya","NYY","Yankees",147,19,10,0.655,"W 2",5.1,3.6,1.5,-0.4,1.1,"19-10",0,"5-4","2-1","6-2","6-3","8-5","11-5","1-3","8-3","15-4","4-6","4-2","15-8","6-4","12-8","19-10",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114
6103034,"Regular Season",2024-04-29,2024-07-03,"6:40 PM","Wed","oakland-athletics","los-angeles-angels",396,139,24,654,2673,"Oakland Athletics","oak","OAK","Athletics",133,12,17,0.414,"W 1",2.9,4.4,-1.5,0.9,-0.6,"9-20",3,"4-6","3-7","2-1","3-3","4-9","8-8","2-1","7-5","9-11","3-6","9-14","3-3","4-6","10-10","12-17",35379,3898,11184,15850,47003,2264,788,1133,1747,5334
6103036,"Regular Season",2024-04-29,2024-07-04,"1:07 PM","Thu","oakland-athletics","los-angeles-angels",368,121,22,572,2551,"Oakland Athletics","oak","OAK","Athletics",133,12,17,0.414,"W 1",2.9,4.4,-1.5,0.9,-0.6,"9-20",3,"4-6","3-7","2-1","3-3","4-9","8-8","2-1","7-5","9-11","3-6","9-14","3-3","4-6","10-10","12-17",35379,3898,11184,15850,47003,2264,788,1133,1747,5334
6103037,"Regular Season",2024-04-29,2024-07-02,"6:40 PM","Tue","oakland-athletics","los-angeles-angels",341,116,27,666,2551,"Oakland Athletics","oak","OAK","Athletics",133,12,17,0.414,"W 1",2.9,4.4,-1.5,0.9,-0.6,"9-20",3,"4-6","3-7","2-1","3-3","4-9","8-8","2-1","7-5","9-11","3-6","9-14","3-3","4-6","10-10","12-17",35379,3898,11184,15850,47003,2264,788,1133,1747,5334
6103041,"Regular Season",2024-04-29,2024-07-05,"6:40 PM","Fri","oakland-athletics","baltimore-orioles",318,131,24,826,2035,"Oakland Athletics","oak","OAK","Athletics",133,12,17,0.414,"W 1",2.9,4.4,-1.5,0.9,-0.6,"9-20",3,"4-6","3-7","2-1","3-3","4-9","8-8","2-1","7-5","9-11","3-6","9-14","3-3","4-6","10-10","12-17",35379,3898,11184,15850,47003,2264,788,1133,1747,5334
6103201,"Regular Season",2024-04-29,2024-06-29,"4:05 PM","Sat","philadelphia-phillies","miami-marlins",528,124,39,5855,2403,"Philadelphia Phillies","phi","PHI","Phillies",143,19,10,0.655,"W 4",4.7,3.8,0.9,-0.3,0.5,"17-12",2,"3-3","7-7","6-0","3-0","10-6","9-4","2-1","5-1","14-4","5-6","4-6","15-4","8-2","15-5","19-10",51010,30760,2048,3778,63497,2852,2014,518,1788,4981
6103203,"Regular Season",2024-04-29,2024-06-30,"1:35 PM","Sun","philadelphia-phillies","miami-marlins",467,122,31,5855,1642,"Philadelphia Phillies","phi","PHI","Phillies",143,19,10,0.655,"W 4",4.7,3.8,0.9,-0.3,0.5,"17-12",2,"3-3","7-7","6-0","3-0","10-6","9-4","2-1","5-1","14-4","5-6","4-6","15-4","8-2","15-5","19-10",51010,30760,2048,3778,63497,2852,2014,518,1788,4981
6103352,"Regular Season",2024-04-29,2024-07-05,"6:40 PM","Fri","pittsburgh-pirates","new-york-mets",746,142,40,5913,4953,"Pittsburgh Pirates","pit","PIT","Pirates",134,14,15,0.483,"L 1",4,4.2,-0.2,0.2,0,"14-15",0,"8-6","2-2","1-2","3-5","5-7","9-8","4-0","5-3","8-12","6-3","7-12","7-3","3-7","7-13","14-15",28461,18069,7698,309,53882,1268,986,988,249,3646
6103354,"Regular Season",2024-04-29,2024-07-04,"12:35 PM","Thu","pittsburgh-pirates","st-louis-cardinals",723,157,40,5913,4872,"Pittsburgh Pirates","pit","PIT","Pirates",134,14,15,0.483,"L 1",4,4.2,-0.2,0.2,0,"14-15",0,"8-6","2-2","1-2","3-5","5-7","9-8","4-0","5-3","8-12","6-3","7-12","7-3","3-7","7-13","14-15",28461,18069,7698,309,53882,1268,986,988,249,3646
6103357,"Regular Season",2024-04-29,2024-07-03,"6:40 PM","Wed","pittsburgh-pirates","st-louis-cardinals",536,116,40,466,3636,"Pittsburgh Pirates","pit","PIT","Pirates",134,14,15,0.483,"L 1",4,4.2,-0.2,0.2,0,"14-15",0,"8-6","2-2","1-2","3-5","5-7","9-8","4-0","5-3","8-12","6-3","7-12","7-3","3-7","7-13","14-15",28461,18069,7698,309,53882,1268,986,988,249,3646
6103364,"Regular Season",2024-04-29,2024-07-02,"6:40 PM","Tue","pittsburgh-pirates","st-louis-cardinals",630,119,40,608,4247,"Pittsburgh Pirates","pit","PIT","Pirates",134,14,15,0.483,"L 1",4,4.2,-0.2,0.2,0,"14-15",0,"8-6","2-2","1-2","3-5","5-7","9-8","4-0","5-3","8-12","6-3","7-12","7-3","3-7","7-13","14-15",28461,18069,7698,309,53882,1268,986,988,249,3646
6103527,"Regular Season",2024-04-29,2024-07-05,"6:40 PM","Fri","san-diego-padres","arizona-diamondbacks",494,104,31,941,2199,"San Diego Padres","sdn","SD","Padres",135,14,17,0.452,"L 4",4.8,4.9,-0.1,-0.4,-0.5,"15-16",-1,"0-3","5-4","8-8","1-2","6-11","8-6","1-0","3-4","9-15","5-2","7-7","7-10","3-7","9-11","14-16",43096,29015,3421,2839,78092,2393,1868,599,1003,4597
6103635,"Regular Season",2024-04-29,2024-06-28,"7:15 PM","Fri","san-francisco-giants","los-angeles-dodgers",925,264,97,1766,6054,"San Francisco Giants","sfn","SF","Giants",137,14,15,0.483,"W 1",4,4.6,-0.6,-0.3,-0.9,"13-16",1,"5-4","2-1","6-8","1-2","9-7","5-8","0-1","4-4","11-10","3-5","2-4","12-11","6-4","11-9","14-15",28607,15278,1189,1196,164289,2221,1514,452,375,16291
6103636,"Regular Season",2024-04-29,2024-06-29,"4:15 PM","Sat","san-francisco-giants","los-angeles-dodgers",953,378,122,2136,6631,"San Francisco Giants","sfn","SF","Giants",137,14,15,0.483,"W 1",4,4.6,-0.6,-0.3,-0.9,"13-16",1,"5-4","2-1","6-8","1-2","9-7","5-8","0-1","4-4","11-10","3-5","2-4","12-11","6-4","11-9","14-15",28607,15278,1189,1196,164289,2221,1514,452,375,16291
6103640,"Regular Season",2024-04-29,2024-06-30,"1:05 PM","Sun","san-francisco-giants","los-angeles-dodgers",884,318,88,5913,5611,"San Francisco Giants","sfn","SF","Giants",137,14,15,0.483,"W 1",4,4.6,-0.6,-0.3,-0.9,"13-16",1,"5-4","2-1","6-8","1-2","9-7","5-8","0-1","4-4","11-10","3-5","2-4","12-11","6-4","11-9","14-15",28607,15278,1189,1196,164289,2221,1514,452,375,16291
6103751,"Regular Season",2024-04-29,2024-06-28,"6:40 PM","Fri","seattle-mariners","minnesota-twins",325,84,28,1150,1865,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103754,"Regular Season",2024-04-29,2024-06-29,"7:10 PM","Sat","seattle-mariners","minnesota-twins",335,102,29,1020,1895,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103755,"Regular Season",2024-04-29,2024-06-30,"1:10 PM","Sun","seattle-mariners","minnesota-twins",322,89,31,783,1763,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103757,"Regular Season",2024-04-29,2024-07-02,"6:40 PM","Tue","seattle-mariners","baltimore-orioles",314,80,27,1145,1873,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103758,"Regular Season",2024-04-29,2024-07-03,"7:10 PM","Wed","seattle-mariners","baltimore-orioles",311,87,33,824,1829,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103763,"Regular Season",2024-04-29,2024-07-04,"1:10 PM","Thu","seattle-mariners","baltimore-orioles",342,106,30,2284,1884,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103765,"Regular Season",2024-04-29,2024-07-05,"6:40 PM","Fri","seattle-mariners","toronto-blue-jays",480,168,67,1057,2392,"Seattle Mariners","sea","SEA","Mariners",136,15,13,0.536,"L 1",3.7,3.4,0.4,0.3,0.7,"15-13",0,"3-4","1-2","2-1","9-6","9-7","6-6","2-1","4-4","10-11","5-2","10-9","5-4","7-3","12-8","15-13",14469,7231,1448,357,60955,927,623,327,191,8599
6103917,"Regular Season",2024-04-29,2024-06-28,"7:15 PM","Fri","st-louis-cardinals","cincinnati-reds",1155,89,15,445,5666,"St. Louis Cardinals","sln","STL","Cardinals",138,13,15,0.464,"L 1",3.6,4.4,-0.8,0.1,-0.7,"11-17",2,"5-4","0-3","6-7","2-1","5-7","8-8","1-3","2-4","9-12","4-3","4-9","9-6","4-6","9-11","13-15",2365,1114,908,50,59215,397,331,243,50,17411
6103919,"Regular Season",2024-04-29,2024-06-30,"1:15 PM","Sun","st-louis-cardinals","cincinnati-reds",1212,100,18,1138,5856,"St. Louis Cardinals","sln","STL","Cardinals",138,13,15,0.464,"L 1",3.6,4.4,-0.8,0.1,-0.7,"11-17",2,"5-4","0-3","6-7","2-1","5-7","8-8","1-3","2-4","9-12","4-3","4-9","9-6","4-6","9-11","13-15",2365,1114,908,50,59215,397,331,243,50,17411
