"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income"
6100066,"Regular Season",2024-04-29,2024-04-29,"6:40 PM","Mon","arizona-diamondbacks","los-angeles-dodgers",302,111,42,515,1567,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100068,"Regular Season",2024-04-29,2024-04-30,"6:40 PM","Tue","arizona-diamondbacks","los-angeles-dodgers",403,392,33,115579,1944,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100072,"Regular Season",2024-04-29,2024-05-01,"6:40 PM","Wed","arizona-diamondbacks","los-angeles-dodgers",1328,127,39,1124,6831,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100074,"Regular Season",2024-04-29,2024-05-03,"6:40 PM","Fri","arizona-diamondbacks","san-diego-padres",1458,103,40,900,7723,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100075,"Regular Season",2024-04-29,2024-05-04,"5:10 PM","Sat","arizona-diamondbacks","san-diego-padres",1168,116,40,916,6255,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100082,"Regular Season",2024-04-29,2024-05-05,"1:10 PM","Sun","arizona-diamondbacks","san-diego-padres",1435,105,31,802,7280,"Arizona Diamondbacks","ari","AZ","D-backs",109,13,16,0.448,"W 1",5.3,4.3,1,-0.5,0.5,"17-12",-4,"0-3","4-5","7-4","2-4","7-6","6-10","1-3","3-4","8-8","5-8","3-9","10-7","4-6","9-11","13-16",9071,5974,611,368,59913,1104,738,292,199,8347
6100397,"Regular Season",2024-04-29,2024-04-30,"6:35 PM","Tue","baltimore-orioles","new-york-yankees",370,121,23,3955,1554,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100399,"Regular Season",2024-04-29,2024-05-01,"6:35 PM","Wed","baltimore-orioles","new-york-yankees",299,107,27,485,1250,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100400,"Regular Season",2024-04-29,2024-04-29,"6:35 PM","Mon","baltimore-orioles","new-york-yankees",155,139,27,3955,642,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100403,"Regular Season",2024-04-29,2024-05-02,"1:05 PM","Thu","baltimore-orioles","new-york-yankees",277,130,25,3955,1047,"Baltimore Orioles","bal","BAL","Orioles",110,17,10,0.63,"L 1",5.6,4.3,1.3,0.3,1.5,"17-10",0,"3-0","7-2","5-4","2-4","9-6","8-4","1-2","2-4","11-6","6-4","11-4","6-6","6-4","12-8","17-10",17773,5834,9509,18,40932,1421,727,1010,22,8701
6100549,"Regular Season",2024-04-29,2024-05-01,"7:10 PM","Wed","boston-red-sox","san-francisco-giants",1087,299,13,115579,3242,"Boston Red Sox","bos","BOS","Red Sox",111,16,13,0.552,"W 2",4.8,3.7,1.1,0.5,1.6,"18-11",-2,"0-3","2-5","9-4","5-1","5-8","11-5","1-3","4-4","13-9","3-4","6-11","10-2","6-4","10-10","16-13",25856,16548,1620,647,58466,1230,1051,409,260,9404
6100552,"Regular Season",2024-04-29,2024-05-02,"1:35 PM","Thu","boston-red-sox","san-francisco-giants",1116,102,22,946,3737,"Boston Red Sox","bos","BOS","Red Sox",111,16,13,0.552,"W 2",4.8,3.7,1.1,0.5,1.6,"18-11",-2,"0-3","2-5","9-4","5-1","5-8","11-5","1-3","4-4","13-9","3-4","6-11","10-2","6-4","10-10","16-13",25856,16548,1620,647,58466,1230,1051,409,260,9404
6100580,"Regular Season",2024-04-29,2024-04-30,"7:10 PM","Tue","boston-red-sox","san-francisco-giants",988,202,18,115579,3074,"Boston Red Sox","bos","BOS","Red Sox",111,16,13,0.552,"W 2",4.8,3.7,1.1,0.5,1.6,"18-11",-2,"0-3","2-5","9-4","5-1","5-8","11-5","1-3","4-4","13-9","3-4","6-11","10-2","6-4","10-10","16-13",25856,16548,1620,647,58466,1230,1051,409,260,9404
6100714,"Regular Season",2024-04-29,2024-05-03,"1:20 PM","Fri","chicago-cubs","milwaukee-brewers",1345,78,14,2805,3816,"Chicago Cubs","chn","CHC","Cubs",112,17,11,0.607,"L 2",5.1,4.6,0.5,-0.3,0.2,"15-13",2,"2-2","0-0","8-4","7-5","10-3","7-8","1-2","4-5","15-8","2-3","6-6","11-5","6-4","12-8","17-11",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6100717,"Regular Season",2024-04-29,2024-05-05,"1:20 PM","Sun","chicago-cubs","milwaukee-brewers",1152,201,14,117589,3250,"Chicago Cubs","chn","CHC","Cubs",112,17,11,0.607,"L 2",5.1,4.6,0.5,-0.3,0.2,"15-13",2,"2-2","0-0","8-4","7-5","10-3","7-8","1-2","4-5","15-8","2-3","6-6","11-5","6-4","12-8","17-11",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6100720,"Regular Season",2024-04-29,2024-05-06,"6:40 PM","Mon","chicago-cubs","san-diego-padres",1430,57,7,1487,4292,"Chicago Cubs","chn","CHC","Cubs",112,17,11,0.607,"L 2",5.1,4.6,0.5,-0.3,0.2,"15-13",2,"2-2","0-0","8-4","7-5","10-3","7-8","1-2","4-5","15-8","2-3","6-6","11-5","6-4","12-8","17-11",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6100743,"Regular Season",2024-04-29,2024-05-04,"1:20 PM","Sat","chicago-cubs","milwaukee-brewers",925,143,33,5933,2637,"Chicago Cubs","chn","CHC","Cubs",112,17,11,0.607,"L 2",5.1,4.6,0.5,-0.3,0.2,"15-13",2,"2-2","0-0","8-4","7-5","10-3","7-8","1-2","4-5","15-8","2-3","6-6","11-5","6-4","12-8","17-11",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6100873,"Regular Season",2024-04-29,2024-04-29,"6:40 PM","Mon","chicago-white-sox","minnesota-twins",348,49,11,367,1595,"Chicago White Sox","cha","CWS","White Sox",145,6,22,0.214,"W 3",2.8,5.5,-2.8,0.6,-2.1,"6-22",0,"3-0","2-15","0-0","1-7","5-9","1-13","1-2","3-6","5-19","1-3","3-22","3-0","3-7","5-15","6-22",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6100876,"Regular Season",2024-04-29,2024-04-30,"6:40 PM","Tue","chicago-white-sox","minnesota-twins",505,1424,8,115579,2448,"Chicago White Sox","cha","CWS","White Sox",145,6,22,0.214,"W 3",2.8,5.5,-2.8,0.6,-2.1,"6-22",0,"3-0","2-15","0-0","1-7","5-9","1-13","1-2","3-6","5-19","1-3","3-22","3-0","3-7","5-15","6-22",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6100906,"Regular Season",2024-04-29,2024-05-01,"1:10 PM","Wed","chicago-white-sox","minnesota-twins",503,51,7,396,2472,"Chicago White Sox","cha","CWS","White Sox",145,6,22,0.214,"W 3",2.8,5.5,-2.8,0.6,-2.1,"6-22",0,"3-0","2-15","0-0","1-7","5-9","1-13","1-2","3-6","5-19","1-3","3-22","3-0","3-7","5-15","6-22",53085,17968,12502,755,65489,2212,1595,1321,281,7821
6101043,"Regular Season",2024-04-29,2024-05-03,"6:10 PM","Fri","cincinnati-reds","baltimore-orioles",565,505,22,115579,2433,"Cincinnati Reds","cin","CIN","Reds",113,15,13,0.536,"L 1",5,4.2,0.8,0,0.7,"16-12",-1,"7-6","1-2","0-0","7-5","9-7","6-6","1-0","1-4","9-8","6-5","7-12","8-1","6-4","10-10","15-13",15293,10019,3750,64,80178,957,779,510,40,6511
6101051,"Regular Season",2024-04-29,2024-05-04,"6:40 PM","Sat","cincinnati-reds","baltimore-orioles",498,110,22,575,1925,"Cincinnati Reds","cin","CIN","Reds",113,15,13,0.536,"L 1",5,4.2,0.8,0,0.7,"16-12",-1,"7-6","1-2","0-0","7-5","9-7","6-6","1-0","1-4","9-8","6-5","7-12","8-1","6-4","10-10","15-13",15293,10019,3750,64,80178,957,779,510,40,6511
6101054,"Regular Season",2024-04-29,2024-05-05,"4:10 PM","Sun","cincinnati-reds","baltimore-orioles",461,91,22,5913,1829,"Cincinnati Reds","cin","CIN","Reds",113,15,13,0.536,"L 1",5,4.2,0.8,0,0.7,"16-12",-1,"7-6","1-2","0-0","7-5","9-7","6-6","1-0","1-4","9-8","6-5","7-12","8-1","6-4","10-10","15-13",15293,10019,3750,64,80178,957,779,510,40,6511
6101198,"Regular Season",2024-04-29,2024-05-03,"7:10 PM","Fri","cleveland-guardians","los-angeles-angels",239,71,32,246,1012,"Cleveland Guardians","cle","CLE","Guardians",114,19,9,0.679,"L 1",5.1,3.5,1.6,0.4,2.1,"19-9",0,"6-4","4-1","8-2","1-2","8-4","11-5","4-1","3-4","13-8","6-1","11-7","8-2","7-3","13-7","19-9",8960,2132,5428,532,19083,848,410,704,589,2199
6101202,"Regular Season",2024-04-29,2024-05-05,"1:40 PM","Sun","cleveland-guardians","los-angeles-angels",252,67,32,251,1039,"Cleveland Guardians","cle","CLE","Guardians",114,19,9,0.679,"L 1",5.1,3.5,1.6,0.4,2.1,"19-9",0,"6-4","4-1","8-2","1-2","8-4","11-5","4-1","3-4","13-8","6-1","11-7","8-2","7-3","13-7","19-9",8960,2132,5428,532,19083,848,410,704,589,2199
6101203,"Regular Season",2024-04-29,2024-05-06,"6:10 PM","Mon","cleveland-guardians","detroit-tigers",282,81,27,219,1772,"Cleveland Guardians","cle","CLE","Guardians",114,19,9,0.679,"L 1",5.1,3.5,1.6,0.4,2.1,"19-9",0,"6-4","4-1","8-2","1-2","8-4","11-5","4-1","3-4","13-8","6-1","11-7","8-2","7-3","13-7","19-9",8960,2132,5428,532,19083,848,410,704,589,2199
6101237,"Regular Season",2024-04-29,2024-05-04,"6:10 PM","Sat","cleveland-guardians","los-angeles-angels",266,74,28,289,1150,"Cleveland Guardians","cle","CLE","Guardians",114,19,9,0.679,"L 1",5.1,3.5,1.6,0.4,2.1,"19-9",0,"6-4","4-1","8-2","1-2","8-4","11-5","4-1","3-4","13-8","6-1","11-7","8-2","7-3","13-7","19-9",8960,2132,5428,532,19083,848,410,704,589,2199
6101441,"Regular Season",2024-04-29,2024-04-29,"6:40 PM","Mon","detroit-tigers","st-louis-cardinals",433,39,9,274,1361,"Detroit Tigers","det","DET","Tigers",116,16,12,0.571,"W 2",4,3.9,0.1,-0.2,-0.1,"14-14",2,"2-1","9-4","2-5","3-2","6-8","10-4","3-1","7-4","12-12","4-0","9-8","7-4","6-4","10-10","16-12",14930,3932,9044,41,21180,1009,540,755,52,2377
6101444,"Regular Season",2024-04-29,2024-04-30,"6:40 PM","Tue","detroit-tigers","st-louis-cardinals",309,1176,11,115579,906,"Detroit Tigers","det","DET","Tigers",116,16,12,0.571,"W 2",4,3.9,0.1,-0.2,-0.1,"14-14",2,"2-1","9-4","2-5","3-2","6-8","10-4","3-1","7-4","12-12","4-0","9-8","7-4","6-4","10-10","16-12",14930,3932,9044,41,21180,1009,540,755,52,2377
6101446,"Regular Season",2024-04-29,2024-05-01,"1:10 PM","Wed","detroit-tigers","st-louis-cardinals",287,55,8,199,835,"Detroit Tigers","det","DET","Tigers",116,16,12,0.571,"W 2",4,3.9,0.1,-0.2,-0.1,"14-14",2,"2-1","9-4","2-5","3-2","6-8","10-4","3-1","7-4","12-12","4-0","9-8","7-4","6-4","10-10","16-12",14930,3932,9044,41,21180,1009,540,755,52,2377
6101601,"Regular Season",2024-04-29,2024-04-30,"7:10 PM","Tue","houston-astros","cleveland-guardians",623,469,19,116584,2263,"Houston Astros","hou","HOU","Astros",117,9,19,0.321,"W 2",4.4,5.1,-0.8,0.2,-0.6,"12-16",-3,"2-5","0-3","4-3","3-8","4-9","5-10","0-3","0-7","5-12","4-7","4-16","5-3","3-7","7-13","9-19",18892,8101,6526,811,70992,2647,1076,1631,258,14502
6101606,"Regular Season",2024-04-29,2024-05-01,"7:10 PM","Wed","houston-astros","cleveland-guardians",637,270,17,116584,2492,"Houston Astros","hou","HOU","Astros",117,9,19,0.321,"W 2",4.4,5.1,-0.8,0.2,-0.6,"12-16",-3,"2-5","0-3","4-3","3-8","4-9","5-10","0-3","0-7","5-12","4-7","4-16","5-3","3-7","7-13","9-19",18892,8101,6526,811,70992,2647,1076,1631,258,14502
6101607,"Regular Season",2024-04-29,2024-05-03,"7:10 PM","Fri","houston-astros","seattle-mariners",624,129,39,520,2340,"Houston Astros","hou","HOU","Astros",117,9,19,0.321,"W 2",4.4,5.1,-0.8,0.2,-0.6,"12-16",-3,"2-5","0-3","4-3","3-8","4-9","5-10","0-3","0-7","5-12","4-7","4-16","5-3","3-7","7-13","9-19",18892,8101,6526,811,70992,2647,1076,1631,258,14502
6101608,"Regular Season",2024-04-29,2024-05-02,"7:10 PM","Thu","houston-astros","cleveland-guardians",698,100,14,1812,2904,"Houston Astros","hou","HOU","Astros",117,9,19,0.321,"W 2",4.4,5.1,-0.8,0.2,-0.6,"12-16",-3,"2-5","0-3","4-3","3-8","4-9","5-10","0-3","0-7","5-12","4-7","4-16","5-3","3-7","7-13","9-19",18892,8101,6526,811,70992,2647,1076,1631,258,14502
6101611,"Regular Season",2024-04-29,2024-05-05,"1:10 PM","Sun","houston-astros","seattle-mariners",581,109,24,476,2124,"Houston Astros","hou","HOU","Astros",117,9,19,0.321,"W 2",4.4,5.1,-0.8,0.2,-0.6,"12-16",-3,"2-5","0-3","4-3","3-8","4-9","5-10","0-3","0-7","5-12","4-7","4-16","5-3","3-7","7-13","9-19",18892,8101,6526,811,70992,2647,1076,1631,258,14502
6101614,"Regular Season",2024-04-29,2024-05-04,"6:15 PM","Sat","houston-astros","seattle-mariners",690,137,35,544,2450,"Houston Astros","hou","HOU","Astros",117,9,19,0.321,"W 2",4.4,5.1,-0.8,0.2,-0.6,"12-16",-3,"2-5","0-3","4-3","3-8","4-9","5-10","0-3","0-7","5-12","4-7","4-16","5-3","3-7","7-13","9-19",18892,8101,6526,811,70992,2647,1076,1631,258,14502
6101772,"Regular Season",2024-04-29,2024-05-03,"6:40 PM","Fri","kansas-city-royals","texas-rangers",314,821,24,115579,1153,"Kansas City Royals","kca","KC","Royals",118,17,12,0.586,"L 2",4.6,3.1,1.5,-0.3,1.2,"19-10",-2,"5-5","8-5","3-0","1-2","12-5","5-7","1-0","5-4","14-9","3-3","5-10","12-2","5-5","12-8","17-12",8768,3850,4272,33,40829,1089,700,948,32,6164
6101776,"Regular Season",2024-04-29,2024-05-04,"6:10 PM","Sat","kansas-city-royals","texas-rangers",243,94,19,632,913,"Kansas City Royals","kca","KC","Royals",118,17,12,0.586,"L 2",4.6,3.1,1.5,-0.3,1.2,"19-10",-2,"5-5","8-5","3-0","1-2","12-5","5-7","1-0","5-4","14-9","3-3","5-10","12-2","5-5","12-8","17-12",8768,3850,4272,33,40829,1089,700,948,32,6164
6101779,"Regular Season",2024-04-29,2024-05-06,"6:40 PM","Mon","kansas-city-royals","milwaukee-brewers",499,89,19,575,2778,"Kansas City Royals","kca","KC","Royals",118,17,12,0.586,"L 2",4.6,3.1,1.5,-0.3,1.2,"19-10",-2,"5-5","8-5","3-0","1-2","12-5","5-7","1-0","5-4","14-9","3-3","5-10","12-2","5-5","12-8","17-12",8768,3850,4272,33,40829,1089,700,948,32,6164
6101780,"Regular Season",2024-04-29,2024-05-05,"1:10 PM","Sun","kansas-city-royals","texas-rangers",436,81,12,546,1945,"Kansas City Royals","kca","KC","Royals",118,17,12,0.586,"L 2",4.6,3.1,1.5,-0.3,1.2,"19-10",-2,"5-5","8-5","3-0","1-2","12-5","5-7","1-0","5-4","14-9","3-3","5-10","12-2","5-5","12-8","17-12",8768,3850,4272,33,40829,1089,700,948,32,6164
6101921,"Regular Season",2024-04-29,2024-04-29,"6:38 PM","Mon","los-angeles-angels","philadelphia-phillies",925,164,7,115579,3881,"Los Angeles Angels","ana","LAA","Angels",108,10,18,0.357,"L 4",4.3,5.5,-1.3,0.1,-1.2,"11-17",-1,"7-12","0-3","0-0","3-3","3-9","7-9","0-1","2-4","8-17","2-1","4-14","6-4","1-9","5-15","10-18",40009,19778,970,6452,83330,2619,1844,336,1020,4428
6101923,"Regular Season",2024-04-29,2024-04-30,"6:38 PM","Tue","los-angeles-angels","philadelphia-phillies",945,71,15,474,4579,"Los Angeles Angels","ana","LAA","Angels",108,10,18,0.357,"L 4",4.3,5.5,-1.3,0.1,-1.2,"11-17",-1,"7-12","0-3","0-0","3-3","3-9","7-9","0-1","2-4","8-17","2-1","4-14","6-4","1-9","5-15","10-18",40009,19778,970,6452,83330,2619,1844,336,1020,4428
6101929,"Regular Season",2024-04-29,2024-05-01,"1:07 PM","Wed","los-angeles-angels","philadelphia-phillies",1054,45,7,419,4931,"Los Angeles Angels","ana","LAA","Angels",108,10,18,0.357,"L 4",4.3,5.5,-1.3,0.1,-1.2,"11-17",-1,"7-12","0-3","0-0","3-3","3-9","7-9","0-1","2-4","8-17","2-1","4-14","6-4","1-9","5-15","10-18",40009,19778,970,6452,83330,2619,1844,336,1020,4428
6102092,"Regular Season",2024-04-29,2024-05-03,"7:10 PM","Fri","los-angeles-dodgers","atlanta-braves",930,204,46,2434,3551,"Los Angeles Dodgers","lan","LAD","Dodgers",119,18,12,0.6,"L 1",5.3,4,1.3,-0.3,1,"19-11",-1,"5-4","4-3","5-3","4-2","9-8","9-4","0-2","4-3","10-9","8-3","4-5","14-7","6-4","11-9","18-12",39709,10063,5465,6587,53278,2133,1055,702,834,4801
6102095,"Regular Season",2024-04-29,2024-05-04,"6:10 PM","Sat","los-angeles-dodgers","atlanta-braves",1164,210,61,2476,5452,"Los Angeles Dodgers","lan","LAD","Dodgers",119,18,12,0.6,"L 1",5.3,4,1.3,-0.3,1,"19-11",-1,"5-4","4-3","5-3","4-2","9-8","9-4","0-2","4-3","10-9","8-3","4-5","14-7","6-4","11-9","18-12",39709,10063,5465,6587,53278,2133,1055,702,834,4801
6102103,"Regular Season",2024-04-29,2024-05-05,"1:10 PM","Sun","los-angeles-dodgers","atlanta-braves",952,352,56,117589,3243,"Los Angeles Dodgers","lan","LAD","Dodgers",119,18,12,0.6,"L 1",5.3,4,1.3,-0.3,1,"19-11",-1,"5-4","4-3","5-3","4-2","9-8","9-4","0-2","4-3","10-9","8-3","4-5","14-7","6-4","11-9","18-12",39709,10063,5465,6587,53278,2133,1055,702,834,4801
6102255,"Regular Season",2024-04-29,2024-04-29,"6:40 PM","Mon","miami-marlins","washington-nationals",455,30,8,235,2034,"Miami Marlins","mia","MIA","Marlins",146,6,23,0.207,"L 6",3.5,5.6,-2,0.1,-1.9,"9-20",-3,"1-8","3-8","1-2","1-5","2-14","4-9","0-3","1-4","5-10","1-13","4-9","2-14","2-8","6-14","6-23",37579,5154,27881,833,52538,2248,1281,1997,401,3606
6102258,"Regular Season",2024-04-29,2024-05-01,"6:40 PM","Wed","miami-marlins","colorado-rockies",443,34,8,287,1987,"Miami Marlins","mia","MIA","Marlins",146,6,23,0.207,"L 6",3.5,5.6,-2,0.1,-1.9,"9-20",-3,"1-8","3-8","1-2","1-5","2-14","4-9","0-3","1-4","5-10","1-13","4-9","2-14","2-8","6-14","6-23",37579,5154,27881,833,52538,2248,1281,1997,401,3606
6102260,"Regular Season",2024-04-29,2024-05-02,"12:10 PM","Thu","miami-marlins","colorado-rockies",438,35,8,341,2072,"Miami Marlins","mia","MIA","Marlins",146,6,23,0.207,"L 6",3.5,5.6,-2,0.1,-1.9,"9-20",-3,"1-8","3-8","1-2","1-5","2-14","4-9","0-3","1-4","5-10","1-13","4-9","2-14","2-8","6-14","6-23",37579,5154,27881,833,52538,2248,1281,1997,401,3606
6102279,"Regular Season",2024-04-29,2024-04-30,"6:40 PM","Tue","miami-marlins","colorado-rockies",470,32,7,341,2154,"Miami Marlins","mia","MIA","Marlins",146,6,23,0.207,"L 6",3.5,5.6,-2,0.1,-1.9,"9-20",-3,"1-8","3-8","1-2","1-5","2-14","4-9","0-3","1-4","5-10","1-13","4-9","2-14","2-8","6-14","6-23",37579,5154,27881,833,52538,2248,1281,1997,401,3606
6102409,"Regular Season",2024-04-29,2024-04-29,"6:40 PM","Mon","milwaukee-brewers","tampa-bay-rays",254,1862,7,115579,1150,"Milwaukee Brewers","mil","MIL","Brewers",158,17,10,0.63,"L 2",5.3,4.7,0.5,0.4,0.9,"15-12",2,"3-0","7-3","1-2","6-5","5-6","12-4","2-0","7-1","15-8","2-2","11-6","6-4","6-4","12-8","17-10",35358,26683,2791,1580,54732,1187,1208,712,504,3443
6102410,"Regular Season",2024-04-29,2024-05-01,"12:10 PM","Wed","milwaukee-brewers","tampa-bay-rays",244,47,9,153,1211,"Milwaukee Brewers","mil","MIL","Brewers",158,17,10,0.63,"L 2",5.3,4.7,0.5,0.4,0.9,"15-12",2,"3-0","7-3","1-2","6-5","5-6","12-4","2-0","7-1","15-8","2-2","11-6","6-4","6-4","12-8","17-10",35358,26683,2791,1580,54732,1187,1208,712,504,3443
6102429,"Regular Season",2024-04-29,2024-04-30,"6:40 PM","Tue","milwaukee-brewers","tampa-bay-rays",378,956,7,115579,1772,"Milwaukee Brewers","mil","MIL","Brewers",158,17,10,0.63,"L 2",5.3,4.7,0.5,0.4,0.9,"15-12",2,"3-0","7-3","1-2","6-5","5-6","12-4","2-0","7-1","15-8","2-2","11-6","6-4","6-4","12-8","17-10",35358,26683,2791,1580,54732,1187,1208,712,504,3443
6102571,"Regular Season",2024-04-29,2024-05-03,"7:10 PM","Fri","minnesota-twins","boston-red-sox",650,83,19,671,3328,"Minnesota Twins","min","MIN","Twins",142,14,13,0.519,"W 7",4.6,4.3,0.3,0.2,0.5,"14-13",0,"0-3","9-7","3-0","2-3","6-6","8-7","1-0","3-3","10-10","4-3","7-13","7-0","8-2","11-9","14-13",5722,3762,1063,37,118079,664,528,247,50,24751
6102577,"Regular Season",2024-04-29,2024-05-05,"1:10 PM","Sun","minnesota-twins","boston-red-sox",653,81,19,484,3330,"Minnesota Twins","min","MIN","Twins",142,14,13,0.519,"W 7",4.6,4.3,0.3,0.2,0.5,"14-13",0,"0-3","9-7","3-0","2-3","6-6","8-7","1-0","3-3","10-10","4-3","7-13","7-0","8-2","11-9","14-13",5722,3762,1063,37,118079,664,528,247,50,24751
6102578,"Regular Season",2024-04-29,2024-05-06,"6:40 PM","Mon","minnesota-twins","seattle-mariners",436,64,14,626,2197,"Minnesota Twins","min","MIN","Twins",142,14,13,0.519,"W 7",4.6,4.3,0.3,0.2,0.5,"14-13",0,"0-3","9-7","3-0","2-3","6-6","8-7","1-0","3-3","10-10","4-3","7-13","7-0","8-2","11-9","14-13",5722,3762,1063,37,118079,664,528,247,50,24751
6102581,"Regular Season",2024-04-29,2024-05-04,"1:10 PM","Sat","minnesota-twins","boston-red-sox",628,89,23,632,3036,"Minnesota Twins","min","MIN","Twins",142,14,13,0.519,"W 7",4.6,4.3,0.3,0.2,0.5,"14-13",0,"0-3","9-7","3-0","2-3","6-6","8-7","1-0","3-3","10-10","4-3","7-13","7-0","8-2","11-9","14-13",5722,3762,1063,37,118079,664,528,247,50,24751
6102739,"Regular Season",2024-04-29,2024-05-01,"7:10 PM","Wed","new-york-mets","chicago-cubs",806,53,10,1086,3104,"New York Mets","nyn","NYM","Mets",121,14,13,0.519,"W 1",4.6,4.3,0.3,0.4,0.7,"14-13",0,"2-1","6-6","3-3","3-3","7-8","7-5","1-2","4-2","10-12","4-1","9-9","5-4","5-5","12-8","14-13",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426
6102741,"Regular Season",2024-04-29,2024-04-30,"7:10 PM","Tue","new-york-mets","chicago-cubs",944,440,15,117590,4734,"New York Mets","nyn","NYM","Mets",121,14,13,0.519,"W 1",4.6,4.3,0.3,0.4,0.7,"14-13",0,"2-1","6-6","3-3","3-3","7-8","7-5","1-2","4-2","10-12","4-1","9-9","5-4","5-5","12-8","14-13",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426
6102743,"Regular Season",2024-04-29,2024-05-02,"1:10 PM","Thu","new-york-mets","chicago-cubs",1042,51,10,1364,5606,"New York Mets","nyn","NYM","Mets",121,14,13,0.519,"W 1",4.6,4.3,0.3,0.4,0.7,"14-13",0,"2-1","6-6","3-3","3-3","7-8","7-5","1-2","4-2","10-12","4-1","9-9","5-4","5-5","12-8","14-13",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426
6102758,"Regular Season",2024-04-29,2024-04-29,"7:10 PM","Mon","new-york-mets","chicago-cubs",940,169,11,117590,4340,"New York Mets","nyn","NYM","Mets",121,14,13,0.519,"W 1",4.6,4.3,0.3,0.4,0.7,"14-13",0,"2-1","6-6","3-3","3-3","7-8","7-5","1-2","4-2","10-12","4-1","9-9","5-4","5-5","12-8","14-13",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426
6102882,"Regular Season",2024-04-29,2024-05-03,"7:05 PM","Fri","new-york-yankees","detroit-tigers",1993,357,35,117590,9402,"New York Yankees","nya","NYY","Yankees",147,19,10,0.655,"W 2",5.1,3.6,1.5,-0.4,1.1,"19-10",0,"5-4","2-1","6-2","6-3","8-5","11-5","1-3","8-3","15-4","4-6","4-2","15-8","6-4","12-8","19-10",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114
