"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100201,2024-09-29,2024-09-29,"12:10 PM","Sun","arizona-diamondbacks","san-diego-padres",0.939,"Arizona Diamondbacks","ari","AZ","D-backs",109,88,73,0.547,"L 2",5.4,4.9,0.6,0,0.6,"88-73",0,"18-15","19-12","27-24","24-22","43-37","45-36","5-8","26-20","61-44","27-29","41-48","47-25","5-5","9-11","13-17",9071,5974,611,368,59913,1104,738,292,199,8347,102.92,98.11,1010,12,40.57,13.96,14,0,7.37,2.85714285714286,219.108571428571,0.57,4.28857142857143,33.4529,1.54285714285714,8.09285714285714,20.4185714285714,1.55714285714286
6100213,2024-09-29,2024-09-30,"1:10 PM","Mon","atlanta-braves","new-york-mets",0.9,"Atlanta Braves","atl","ATL","Braves",144,88,71,0.553,"W 5",4.4,3.7,0.6,0,0.6,"90-69",-2,"27-23","13-17","17-17","31-14","45-33","43-38","12-5","18-24","60-54","28-17","48-38","40-33","7-3","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,79.79,79.79,1013,52,61.07,9.46,82,1,6.9,1.54166666666667,348.39125,8.84208333333333,14.3329166666667,33.75,1.33708333333333,7.58875,10.185,0.672083333333333
6100363,2024-09-29,2024-09-29,"3:20 PM","Sun","atlanta-braves","kansas-city-royals",0.937,"Atlanta Braves","atl","ATL","Braves",144,88,71,0.553,"W 5",4.4,3.7,0.6,0,0.6,"90-69",-2,"27-23","13-17","17-17","31-14","45-33","43-38","12-5","18-24","60-54","28-17","48-38","40-33","7-3","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,75.87,76.15,1011,64,62.82,8.05,0,0,6.31,1.85714285714286,257.968571428571,0.321428571428571,5.24142857142857,33.75,2.07428571428571,4.15571428571429,4.79428571428571,0.86
6100682,2024-09-29,2024-09-29,"3:05 PM","Sun","boston-red-sox","tampa-bay-rays",0.938,"Boston Red Sox","bos","BOS","Red Sox",111,80,81,0.497,"L 3",4.6,4.6,0,0,0,"81-80",-1,"24-27","16-17","19-12","21-25","37-43","43-38","10-10","18-13","63-55","17-26","37-56","43-25","5-5","9-11","13-17",25856,16548,1620,647,58466,1230,1051,409,260,9404,65.91,65.41,1017,68,55.06,6.26,80,0,5.04,1.85714285714286,294.208571428571,1.20428571428571,23.33,42.3466,3.83,2.99571428571429,4.06285714285714,0.728571428571429
6100849,2024-09-29,2024-09-29,"2:20 PM","Sun","chicago-cubs","cincinnati-reds",0.949,"Chicago Cubs","chn","CHC","Cubs",112,83,78,0.516,"W 2",4.6,4.1,0.4,0,0.4,"88-73",-5,"17-16","23-28","16-15","27-19","44-36","39-42","7-4","23-28","69-58","14-20","42-45","41-33","6-4","11-9","18-12",53085,17968,12502,755,65489,2212,1595,1321,281,7821,69.6,70.02,1016,80,63.16,13.29,99,0.15,5.24,2,217.437142857143,0.742857142857143,5.20428571428571,41.9472,1.91571428571429,5.37,5.91,0.344285714285714
6101412,2024-09-29,2024-09-29,"1:10 PM","Sun","colorado-rockies","los-angeles-dodgers",0.942,"Colorado Rockies","col","COL","Rockies",115,61,100,0.379,"L 2",4.2,5.8,-1.5,0.2,-1.4,"58-103",3,"11-20","12-21","18-33","20-26","37-43","24-57","8-4","26-20","46-69","15-31","40-61","21-39","3-7","9-11","13-17",33805,20800,5116,3969,79436,1381,1386,783,919,11916,81.05,79.63,1014,27,43.95,11.63,16,0,6.72,3,308.751428571429,7.89,22.0328571428571,39.757,6.74428571428571,11.9514285714286,17.0028571428571,2.10571428571429
6101575,2024-09-29,2024-09-29,"3:10 PM","Sun","detroit-tigers","chicago-white-sox",0.928,"Detroit Tigers","det","DET","Tigers",116,86,75,0.534,"L 1",4.2,3.9,0.3,-0.1,0.2,"85-76",1,"20-12","28-23","16-16","22-24","43-37","43-38","10-9","31-24","65-63","21-12","43-47","43-28","8-2","15-5","21-9",14930,3932,9044,41,21180,1009,540,755,52,2377,67.91,68.83,1015,94,66.13,9.89,100,0.53,3.39,1,273.228571428571,0.864285714285714,15.2271428571429,42.3464,7.75,7.19142857142857,8.11285714285714,1.17285714285714
6102548,2024-09-29,2024-09-29,"2:10 PM","Sun","milwaukee-brewers","new-york-mets",0.896,"Milwaukee Brewers","mil","MIL","Brewers",158,93,68,0.578,"W 3",4.8,4,0.9,0,0.9,"95-66",-2,"15-14","32-20","15-19","31-15","47-33","46-35","6-9","28-25","69-45","24-23","50-39","43-29","6-4","12-8","18-12",35358,26683,2791,1580,54732,1187,1208,712,504,3443,72.45,72.68,1018,70,62.11,15.21,75,0,5.31,2,197.411428571429,0.305714285714286,2.04,43.0421,1.29714285714286,7.97,8.27285714285714,0.125714285714286
6102706,2024-09-29,2024-09-29,"2:10 PM","Sun","minnesota-twins","baltimore-orioles",0.898,"Minnesota Twins","min","MIN","Twins",142,82,79,0.509,"L 3",4.6,4.5,0.1,-0.1,0,"82-79",0,"10-20","29-23","25-8","18-28","43-37","39-42","5-9","22-20","61-54","21-25","36-55","46-24","2-8","6-14","10-20",5722,3762,1063,37,118079,664,528,247,50,24751,76.86,76.87,1019,56,59.99,8.34,0,0,5.13,2.42857142857143,271.798571428571,3.10571428571429,15.6928571428571,44.9743,5.69857142857143,10.4528571428571,11.5957142857143,1.42428571428571
6102949,2024-09-29,2024-09-29,"3:05 PM","Sun","new-york-yankees","pittsburgh-pirates",0.936,"New York Yankees","nya","NYY","Yankees",147,93,68,0.578,"L 2",5,4.1,0.9,-0.1,0.8,"95-66",-2,"26-26","24-7","21-12","22-23","43-37","50-31","8-8","19-18","73-45","20-23","48-32","45-36","5-5","12-8","16-14",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,62.47,62.65,1017,90,59.5,8.66,100,0.9,1.73,2,252.722857142857,0.422857142857143,11.6542857142857,40.8198,2.15857142857143,2.44142857142857,4.16142857142857,0.41
