"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100056,"Regular Season","2024-04-13",2024-04-13,"5:10 PM","Sat","arizona-diamondbacks","st-louis-cardinals",328,90,39,676,1768
6100061,"Regular Season","2024-04-13",2024-04-14,"1:10 PM","Sun","arizona-diamondbacks","st-louis-cardinals",1515,101,37,564,7061
6100062,"Regular Season","2024-04-13",2024-04-15,"6:40 PM","Mon","arizona-diamondbacks","chicago-cubs",1499,97,33,788,8357
6100069,"Regular Season","2024-04-13",2024-04-16,"6:40 PM","Tue","arizona-diamondbacks","chicago-cubs",418,82,27,453,2226
6100070,"Regular Season","2024-04-13",2024-04-17,"12:40 PM","Wed","arizona-diamondbacks","chicago-cubs",373,82,26,802,2276
6100217,"Regular Season","2024-04-13",2024-04-19,"7:20 PM","Fri","atlanta-braves","texas-rangers",539,148,35,1760,1729
6100380,"Regular Season","2024-04-13",2024-04-13,"4:05 PM","Sat","baltimore-orioles","milwaukee-brewers",309,73,26,341,1198
6100383,"Regular Season","2024-04-13",2024-04-15,"6:35 PM","Mon","baltimore-orioles","minnesota-twins",664,91,14,3955,3239
6100385,"Regular Season","2024-04-13",2024-04-16,"6:35 PM","Tue","baltimore-orioles","minnesota-twins",614,99,12,3955,2930
6100386,"Regular Season","2024-04-13",2024-04-14,"1:35 PM","Sun","baltimore-orioles","milwaukee-brewers",441,118,29,571,1722
6100388,"Regular Season","2024-04-13",2024-04-17,"1:05 PM","Wed","baltimore-orioles","minnesota-twins",708,79,12,318,3537
6100532,"Regular Season","2024-04-13",2024-04-13,"4:10 PM","Sat","boston-red-sox","los-angeles-angels",543,106,43,763,1422
6100535,"Regular Season","2024-04-13",2024-04-15,"11:10 AM","Mon","boston-red-sox","cleveland-guardians",872,178,67,893,2516
6100536,"Regular Season","2024-04-13",2024-04-16,"7:10 PM","Tue","boston-red-sox","cleveland-guardians",1276,81,16,761,3981
6100540,"Regular Season","2024-04-13",2024-04-14,"1:35 PM","Sun","boston-red-sox","los-angeles-angels",767,128,39,1016,1975
