"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100213,2024-09-30,2024-09-30,"1:10 PM","Mon","atlanta-braves","new-york-mets",0.931,"Atlanta Braves","atl","ATL","Braves",144,88,72,0.55,"L 1",4.3,3.7,0.6,0,0.6,"91-69",-3,"27-23","13-17","17-17","31-15","45-34","43-38","12-5","18-24","60-55","28-17","51-40","37-32","7-3","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,75.96,76.5,1013,69,65.07,9.01,100,0.09,6.81,1.85714285714286,298.978571428571,0.705714285714286,8.13285714285714,33.7469,1.14,3.45285714285714,4.09142857142857,0.535714285714286
17005667,2024-09-30,2024-10-01,"4:08 PM","Tue","baltimore-orioles","kansas-city-royals",0.974,"Baltimore Orioles","bal","BAL","Orioles",110,91,71,0.562,"W 3",4.9,4.3,0.5,-0.1,0.5,"90-72",1,"32-20","21-11","18-14","20-26","44-37","47-34","5-6","14-18","68-51","23-20","47-44","44-27","7-3","9-11","15-15",17773,5834,9509,18,40932,1421,727,1010,22,8701,63.34,63.61,1016,90,60.06,10.22,100,1,0.75,1.16666666666667,275.791666666667,0.451666666666667,14.0833333333333,39.2852,2.43833333333333,5.39166666666667,8.07041666666667,0.329583333333333
17005668,2024-09-30,2024-10-03,"4:08 PM","Thu","baltimore-orioles","kansas-city-royals",0.911,"Baltimore Orioles","bal","BAL","Orioles",110,91,71,0.562,"W 3",4.9,4.3,0.5,-0.1,0.5,"90-72",1,"32-20","21-11","18-14","20-26","44-37","47-34","5-6","14-18","68-51","23-20","47-44","44-27","7-3","9-11","15-15",17773,5834,9509,18,40932,1421,727,1010,22,8701,76.78,76.89,1018,58,60.89,7.72,25,0.4,5.01,1.875,324.19125,2.63291666666667,9.69041666666667,39.2852,1.20875,9.25458333333333,12.355,0.284166666666667
17005670,2024-09-30,2024-10-02,"4:38 PM","Wed","baltimore-orioles","kansas-city-royals",0.967,"Baltimore Orioles","bal","BAL","Orioles",110,91,71,0.562,"W 3",4.9,4.3,0.5,-0.1,0.5,"90-72",1,"32-20","21-11","18-14","20-26","44-37","47-34","5-6","14-18","68-51","23-20","47-44","44-27","7-3","9-11","15-15",17773,5834,9509,18,40932,1421,727,1010,22,8701,68.25,68.25,1016,74,59.13,5.93,100,0,4.43,1,301.79875,1.38083333333333,20.0108333333333,39.2852,3.40916666666667,5.80625,10.6616666666667,0.4225
17005722,2024-09-30,2024-10-01,"1:32 PM","Tue","houston-astros","detroit-tigers",0.965,"Houston Astros","hou","HOU","Astros",117,88,73,0.547,"W 2",4.6,4,0.6,-0.1,0.4,"90-71",-2,"19-14","18-12","29-23","22-24","46-35","42-38","6-10","18-27","63-52","25-21","41-43","47-30","6-4","12-8","18-12",18892,8101,6526,811,70992,2647,1076,1631,258,14502,92.68,92.52,1015,34,60.84,10.16,0,0,7.56,2.75,359.516666666667,7.14375,22.98,29.7605,4.34958333333333,16.6583333333333,19.22,1.50916666666667
17005725,2024-09-30,2024-10-02,"1:32 PM","Wed","houston-astros","detroit-tigers",0.947,"Houston Astros","hou","HOU","Astros",117,88,73,0.547,"W 2",4.6,4,0.6,-0.1,0.4,"90-71",-2,"19-14","18-12","29-23","22-24","46-35","42-38","6-10","18-27","63-52","25-21","41-43","47-30","6-4","12-8","18-12",18892,8101,6526,811,70992,2647,1076,1631,258,14502,89.58,88.88,1014,36,59.25,8.88,0,0,7.6,2.5,455.479166666667,3.29541666666667,42.7029166666667,29.7605,5.38708333333333,17.665,21.3516666666667,2.27375
17005727,2024-09-30,2024-10-03,"1:32 PM","Thu","houston-astros","detroit-tigers",0.904,"Houston Astros","hou","HOU","Astros",117,88,73,0.547,"W 2",4.6,4,0.6,-0.1,0.4,"90-71",-2,"19-14","18-12","29-23","22-24","46-35","42-38","6-10","18-27","63-52","25-21","41-43","47-30","6-4","12-8","18-12",18892,8101,6526,811,70992,2647,1076,1631,258,14502,87.33,87.04,1012,40,59.88,7.38,87,0,7.47,2.5,445.327916666667,3.86833333333333,35.61,29.7605,5.75708333333333,16.8470833333333,19.9116666666667,1.35291666666667
17005751,2024-09-30,2024-10-01,"4:32 PM","Tue","milwaukee-brewers","nl-wild-card",0.924,"Milwaukee Brewers","mil","MIL","Brewers",158,93,69,0.574,"L 1",4.8,4,0.8,0,0.8,"95-67",-2,"15-15","32-20","15-19","31-15","47-34","46-35","6-9","28-25","69-45","24-24","52-41","41-28","5-5","11-9","17-13",35358,26683,2791,1580,54732,1187,1208,712,504,3443,63.09,60.78,1018,36,36,16.87,33,0,3.95,1.875,266.750833333333,0.142916666666667,10.18375,43.0421,2.05791666666667,7.05791666666667,7.84583333333333,0.67
17005753,2024-09-30,2024-10-02,"6:38 PM","Wed","milwaukee-brewers","nl-wild-card",0.92,"Milwaukee Brewers","mil","MIL","Brewers",158,93,69,0.574,"L 1",4.8,4,0.8,0,0.8,"95-67",-2,"15-15","32-20","15-19","31-15","47-34","46-35","6-9","28-25","69-45","24-24","52-41","41-28","5-5","11-9","17-13",35358,26683,2791,1580,54732,1187,1208,712,504,3443,64.89,62.53,1015,31,33.66,14.54,7,0,4.57,1.75,244.915833333333,0.772083333333333,6.50541666666667,43.0421,0.708333333333333,2.12708333333333,2.78916666666667,1.13666666666667
17005755,2024-09-30,2024-10-03,"7:38 PM","Thu","milwaukee-brewers","nl-wild-card",0.866,"Milwaukee Brewers","mil","MIL","Brewers",158,93,69,0.574,"L 1",4.8,4,0.8,0,0.8,"95-67",-2,"15-15","32-20","15-19","31-15","47-34","46-35","6-9","28-25","69-45","24-24","52-41","41-28","5-5","11-9","17-13",35358,26683,2791,1580,54732,1187,1208,712,504,3443,67.17,65.46,1015,40,41.79,14.16,63,0,3.92,2,236.432083333333,0.321666666666667,5.71666666666667,43.0421,1.19791666666667,4.39083333333333,5.36375,1.51583333333333
17005793,2024-09-30,2024-10-01,"5:38 PM","Tue","san-diego-padres","nl-wild-card",1,"San Diego Padres","sdn","SD","Padres",135,93,69,0.574,"L 1",4.7,4.1,0.6,0,0.6,"90-72",3,"17-15","22-10","27-25","27-19","45-36","48-33","10-2","22-19","66-50","27-19","50-44","43-25","7-3","13-7","19-11",43096,29015,3421,2839,78092,2393,1868,599,1003,4597,76.23,75.7,1012,46,52.9,9.22,0,0,6.83,2.58333333333333,520.845833333333,11.0679166666667,45.9229166666667,32.7521,2.185,19.8904166666667,35.7291666666667,1.49708333333333
17005794,2024-09-30,2024-10-02,"5:38 PM","Wed","san-diego-padres","nl-wild-card",0.963,"San Diego Padres","sdn","SD","Padres",135,93,69,0.574,"L 1",4.7,4.1,0.6,0,0.6,"90-72",3,"17-15","22-10","27-25","27-19","45-36","48-33","10-2","22-19","66-50","27-19","50-44","43-25","7-3","13-7","19-11",43096,29015,3421,2839,78092,2393,1868,599,1003,4597,77.97,77.63,1008,46,54.18,7.58,2,0,6.41,2.41666666666667,372.032916666667,2.5625,22.6166666666667,32.7521,1.845,20.2725,30.8658333333333,1.22375
17005796,2024-09-30,2024-10-03,"4:08 PM","Thu","san-diego-padres","nl-wild-card",0.937,"San Diego Padres","sdn","SD","Padres",135,93,69,0.574,"L 1",4.7,4.1,0.6,0,0.6,"90-72",3,"17-15","22-10","27-25","27-19","45-36","48-33","10-2","22-19","66-50","27-19","50-44","43-25","7-3","13-7","19-11",43096,29015,3421,2839,78092,2393,1868,599,1003,4597,74.23,74.12,1008,59,59.11,7.52,0,0,6.59,3,622.650833333333,6.24,56.2741666666667,32.7521,3.74708333333333,33.055,50.9166666666667,2.42125
