"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100197,2024-09-27,2024-09-27,"6:40 PM","Fri","arizona-diamondbacks","san-diego-padres",0.863,"Arizona Diamondbacks","ari","AZ","D-backs",109,88,71,0.553,"W 1",5.5,4.9,0.6,0,0.6,"88-71",0,"18-15","19-12","27-22","24-22","43-35","45-36","5-8","26-20","61-42","27-29","44-46","44-25","5-5","10-10","15-15",9071,5974,611,368,59913,1104,738,292,199,8347,98.46,94.66,1006,17,46.17,5.88,12,0,7.36,4.42857142857143,382.424285714286,3.79142857142857,21.52,33.4529,4.67,14.7857142857143,22.0371428571429,3.14
6100201,2024-09-27,2024-09-29,"12:10 PM","Sun","arizona-diamondbacks","san-diego-padres",0.839,"Arizona Diamondbacks","ari","AZ","D-backs",109,88,71,0.553,"W 1",5.5,4.9,0.6,0,0.6,"88-71",0,"18-15","19-12","27-22","24-22","43-35","45-36","5-8","26-20","61-42","27-29","44-46","44-25","5-5","10-10","15-15",9071,5974,611,368,59913,1104,738,292,199,8347,104.25,98.83,1008,10,37.49,12.41,4,0,7.18,2.08333333333333,308.683333333333,0.53375,22.3308333333333,33.4529,2.24916666666667,8.31541666666667,18.5145833333333,2.48208333333333
6100202,2024-09-27,2024-09-28,"5:10 PM","Sat","arizona-diamondbacks","san-diego-padres",0.86,"Arizona Diamondbacks","ari","AZ","D-backs",109,88,71,0.553,"W 1",5.5,4.9,0.6,0,0.6,"88-71",0,"18-15","19-12","27-22","24-22","43-35","45-36","5-8","26-20","61-42","27-29","44-46","44-25","5-5","10-10","15-15",9071,5974,611,368,59913,1104,738,292,199,8347,106.81,101.37,1006,10,39.81,9.53,0,0,7.4,2,280.519583333333,0.86875,13.8133333333333,33.4529,1.62916666666667,7.71875,14.8933333333333,2.16541666666667
6100213,2024-09-27,2024-09-30,"1:10 PM","Mon","atlanta-braves","new-york-mets",0.823,"Atlanta Braves","atl","ATL","Braves",144,86,71,0.548,"W 3",4.4,3.8,0.6,0,0.6,"89-68",-3,"27-23","13-17","17-17","29-14","43-33","43-38","12-5","17-24","58-54","28-17","49-39","37-32","6-4","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,82.15,82.2,1012,45,59.22,11.7,40,0.02,7.04,1.54166666666667,274.400833333333,0.727083333333333,13.8404166666667,33.7469,1.67791666666667,7.29625,8.93583333333333,0.60875
6100361,2024-09-27,2024-09-28,"7:20 PM","Sat","atlanta-braves","kansas-city-royals",0.839,"Atlanta Braves","atl","ATL","Braves",144,86,71,0.548,"W 3",4.4,3.8,0.6,0,0.6,"89-68",-3,"27-23","13-17","17-17","29-14","43-33","43-38","12-5","17-24","58-54","28-17","49-39","37-32","6-4","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,69.82,69.51,1009,64,57.31,12.62,96,0,3.02,1.83333333333333,263.69125,0.2125,6.28833333333333,33.7469,1.73375,8.56375,9.57291666666667,0.555833333333333
6100363,2024-09-27,2024-09-29,"3:20 PM","Sun","atlanta-braves","kansas-city-royals",0.83,"Atlanta Braves","atl","ATL","Braves",144,86,71,0.548,"W 3",4.4,3.8,0.6,0,0.6,"89-68",-3,"27-23","13-17","17-17","29-14","43-33","43-38","12-5","17-24","58-54","28-17","49-39","37-32","6-4","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,78.44,78.33,1011,50,58.73,10.45,5,0.2,6.34,1.66666666666667,240.117916666667,0.352916666666667,6.97916666666667,33.7469,1.3975,6.70958333333333,8.8625,0.529166666666667
6100365,2024-09-27,2024-09-27,"7:20 PM","Fri","atlanta-braves","kansas-city-royals",0.842,"Atlanta Braves","atl","ATL","Braves",144,86,71,0.548,"W 3",4.4,3.8,0.6,0,0.6,"89-68",-3,"27-23","13-17","17-17","29-14","43-33","43-38","12-5","17-24","58-54","28-17","49-39","37-32","6-4","12-8","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,68.67,68.9,999,78,61.54,20.27,100,1,3.89,1.85714285714286,271.798571428571,0.375714285714286,4.16285714285714,33.7469,2.21714285714286,3.60285714285714,4.01571428571429,0.664285714285714
6100677,2024-09-27,2024-09-27,"7:10 PM","Fri","boston-red-sox","tampa-bay-rays",0.856,"Boston Red Sox","bos","BOS","Red Sox",111,80,79,0.503,"L 1",4.7,4.6,0.1,0,0.1,"80-79",0,"24-25","16-17","19-12","21-25","37-41","43-38","10-10","18-12","63-53","17-26","37-56","43-23","5-5","10-10","13-17",25856,16548,1620,647,58466,1230,1051,409,260,9404,75.51,75.11,1015,50,55.58,4.85,50,1,4.69,1.85714285714286,284.194285714286,1.46714285714286,15.1042857142857,42.3466,1.16857142857143,2.94857142857143,3.93142857142857,0.798571428571429
6100681,2024-09-27,2024-09-28,"4:10 PM","Sat","boston-red-sox","tampa-bay-rays",0.845,"Boston Red Sox","bos","BOS","Red Sox",111,80,79,0.503,"L 1",4.7,4.6,0.1,0,0.1,"80-79",0,"24-25","16-17","19-12","21-25","37-41","43-38","10-10","18-12","63-53","17-26","37-56","43-23","5-5","10-10","13-17",25856,16548,1620,647,58466,1230,1051,409,260,9404,67.86,67.26,1018,62,54.09,7.45,100,0,4.42,1.70833333333333,459.51375,15.0495833333333,24.1929166666667,42.3466,2.40375,11.5704166666667,14.4625,0.779166666666667
6100682,2024-09-27,2024-09-29,"3:05 PM","Sun","boston-red-sox","tampa-bay-rays",0.835,"Boston Red Sox","bos","BOS","Red Sox",111,80,79,0.503,"L 1",4.7,4.6,0.1,0,0.1,"80-79",0,"24-25","16-17","19-12","21-25","37-41","43-38","10-10","18-12","63-53","17-26","37-56","43-23","5-5","10-10","13-17",25856,16548,1620,647,58466,1230,1051,409,260,9404,66.13,65.3,1019,61,51.91,6.29,100,0,4.89,1.58333333333333,339.627916666667,6.42041666666667,19.32625,42.3466,2.80958333333333,8.21208333333333,10.0270833333333,0.645
6100844,2024-09-27,2024-09-27,"1:20 PM","Fri","chicago-cubs","cincinnati-reds",0.842,"Chicago Cubs","chn","CHC","Cubs",112,81,78,0.509,"L 1",4.6,4.2,0.4,0,0.4,"86-73",-5,"17-16","21-28","16-15","27-19","42-36","39-42","7-4","22-28","67-58","14-20","43-47","38-31","5-5","10-10","17-13",53085,17968,12502,755,65489,2212,1595,1321,281,7821,70.09,69.85,1010,65,57.79,23.67,100,0,4.16,2.71428571428571,212.907142857143,0.615714285714286,4.61571428571429,41.9472,1.88,3.25285714285714,3.68571428571429,0.587142857142857
6100847,2024-09-27,2024-09-28,"1:20 PM","Sat","chicago-cubs","cincinnati-reds",0.858,"Chicago Cubs","chn","CHC","Cubs",112,81,78,0.509,"L 1",4.6,4.2,0.4,0,0.4,"86-73",-5,"17-16","21-28","16-15","27-19","42-36","39-42","7-4","22-28","67-58","14-20","43-47","38-31","5-5","10-10","17-13",53085,17968,12502,755,65489,2212,1595,1321,281,7821,66.27,66.88,1010,91,63.48,22.1,100,1,0.88,1.83333333333333,232.122083333333,0.215,6.55416666666667,41.9472,1.87583333333333,4.58666666666667,4.95041666666667,0.529583333333333
6100849,2024-09-27,2024-09-29,"2:20 PM","Sun","chicago-cubs","cincinnati-reds",0.83,"Chicago Cubs","chn","CHC","Cubs",112,81,78,0.509,"L 1",4.6,4.2,0.4,0,0.4,"86-73",-5,"17-16","21-28","16-15","27-19","42-36","39-42","7-4","22-28","67-58","14-20","43-47","38-31","5-5","10-10","17-13",53085,17968,12502,755,65489,2212,1595,1321,281,7821,68.27,68.85,1014,86,63.84,13.53,100,0,4.49,1.25,246.445416666667,0.242916666666667,9.99125,41.9472,1.97041666666667,5.82208333333333,6.38,0.330833333333333
6101412,2024-09-27,2024-09-29,"1:10 PM","Sun","colorado-rockies","los-angeles-dodgers",0.83,"Colorado Rockies","col","COL","Rockies",115,61,98,0.384,"W 1",4.2,5.7,-1.4,0.2,-1.3,"59-100",2,"11-20","12-21","18-31","20-26","37-41","24-57","8-4","26-20","46-67","15-31","42-60","19-38","4-6","10-10","14-16",33805,20800,5116,3969,79436,1381,1386,783,919,11916,83.7,81.01,1012,19,37.54,11.9,0,0,6.56,2.08333333333333,302.006666666667,5.5225,23.8129166666667,39.757,3.73625,10.17,14.735,2.30916666666667
6101413,2024-09-27,2024-09-28,"6:10 PM","Sat","colorado-rockies","los-angeles-dodgers",0.852,"Colorado Rockies","col","COL","Rockies",115,61,98,0.384,"W 1",4.2,5.7,-1.4,0.2,-1.3,"59-100",2,"11-20","12-21","18-31","20-26","37-41","24-57","8-4","26-20","46-67","15-31","42-60","19-38","4-6","10-10","14-16",33805,20800,5116,3969,79436,1381,1386,783,919,11916,80.38,78.93,1016,22,38.46,12.68,0,0,6.8,2.5,387.8175,7.84291666666667,40.0454166666667,39.757,3.81833333333333,13.3575,19.3279166666667,3.54958333333333
6101423,2024-09-27,2024-09-27,"6:10 PM","Fri","colorado-rockies","los-angeles-dodgers",0.857,"Colorado Rockies","col","COL","Rockies",115,61,98,0.384,"W 1",4.2,5.7,-1.4,0.2,-1.3,"59-100",2,"11-20","12-21","18-31","20-26","37-41","24-57","8-4","26-20","46-67","15-31","42-60","19-38","4-6","10-10","14-16",33805,20800,5116,3969,79436,1381,1386,783,919,11916,75.58,74.25,1017,30,42.01,7.76,26,0,6.4,2.71428571428571,204.802857142857,1.47714285714286,6.78,39.757,3.71714285714286,10.0814285714286,16.65,3.04285714285714
6101571,2024-09-27,2024-09-27,"6:40 PM","Fri","detroit-tigers","chicago-white-sox",0.89,"Detroit Tigers","det","DET","Tigers",116,85,74,0.535,"W 5",4.2,3.9,0.3,0,0.2,"85-74",0,"20-12","27-22","16-16","22-24","42-36","43-38","10-9","31-24","65-62","20-12","47-50","38-24","9-1","15-5","22-8",14930,3932,9044,41,21180,1009,540,755,52,2377,72.79,72.68,1011,62,59.02,15.55,0,0,4.25,2.85714285714286,236.988571428571,0.844285714285714,8.76571428571429,42.3464,7.73142857142857,5.72285714285714,6.57428571428571,1.47285714285714
6101573,2024-09-27,2024-09-28,"1:10 PM","Sat","detroit-tigers","chicago-white-sox",0.851,"Detroit Tigers","det","DET","Tigers",116,85,74,0.535,"W 5",4.2,3.9,0.3,0,0.2,"85-74",0,"20-12","27-22","16-16","22-24","42-36","43-38","10-9","31-24","65-62","20-12","47-50","38-24","9-1","15-5","22-8",14930,3932,9044,41,21180,1009,540,755,52,2377,75.27,75.74,1009,69,64.47,12.39,100,1,2.46,1.45833333333333,267.16875,0.217916666666667,12.73125,42.3464,4.12625,5.2975,5.91083333333333,1.22333333333333
6101575,2024-09-27,2024-09-29,"3:10 PM","Sun","detroit-tigers","chicago-white-sox",0.84,"Detroit Tigers","det","DET","Tigers",116,85,74,0.535,"W 5",4.2,3.9,0.3,0,0.2,"85-74",0,"20-12","27-22","16-16","22-24","42-36","43-38","10-9","31-24","65-62","20-12","47-50","38-24","9-1","15-5","22-8",14930,3932,9044,41,21180,1009,540,755,52,2377,65.8,66.36,1014,91,63.07,8.86,100,1,4.63,1.08333333333333,308.752083333333,0.332083333333333,19.4145833333333,42.3464,4.01875,7.89541666666667,8.65291666666667,0.628333333333333
6102542,2024-09-27,2024-09-27,"7:10 PM","Fri","milwaukee-brewers","new-york-mets",0.808,"Milwaukee Brewers","mil","MIL","Brewers",158,91,68,0.572,"W 1",4.8,4,0.8,0,0.8,"93-66",-2,"13-14","32-20","15-19","31-15","45-33","46-35","6-9","28-25","69-45","22-23","50-40","41-28","5-5","10-10","16-14",35358,26683,2791,1580,54732,1187,1208,712,504,3443,70.88,70.48,1013,60,56.32,17.74,75,0,4.55,2,197.647142857143,0.224285714285714,2.19714285714286,43.0421,0.948571428571429,3.21714285714286,3.47857142857143,0.277142857142857
6102548,2024-09-27,2024-09-29,"2:10 PM","Sun","milwaukee-brewers","new-york-mets",0.795,"Milwaukee Brewers","mil","MIL","Brewers",158,91,68,0.572,"W 1",4.8,4,0.8,0,0.8,"93-66",-2,"13-14","32-20","15-19","31-15","45-33","46-35","6-9","28-25","69-45","22-23","50-40","41-28","5-5","10-10","16-14",35358,26683,2791,1580,54732,1187,1208,712,504,3443,67.28,67.19,1016,74,58.73,17.36,100,0,5.36,1.70833333333333,211.19125,0.106666666666667,3.6825,43.0421,0.86375,5.30583333333333,5.5025,0.1925
6102567,2024-09-27,2024-09-28,"6:10 PM","Sat","milwaukee-brewers","new-york-mets",0.824,"Milwaukee Brewers","mil","MIL","Brewers",158,91,68,0.572,"W 1",4.8,4,0.8,0,0.8,"93-66",-2,"13-14","32-20","15-19","31-15","45-33","46-35","6-9","28-25","69-45","22-23","50-40","41-28","5-5","10-10","16-14",35358,26683,2791,1580,54732,1187,1208,712,504,3443,69.39,69.31,1012,70,59.13,17.34,95,0,5.01,2,201.31625,0.0429166666666667,2.65458333333333,43.0421,0.803333333333333,3.67625,3.88875,0.324166666666667
6102703,2024-09-27,2024-09-28,"6:15 PM","Sat","minnesota-twins","baltimore-orioles",0.816,"Minnesota Twins","min","MIN","Twins",142,82,77,0.516,"L 1",4.6,4.5,0.1,-0.1,0.1,"82-77",0,"10-18","29-23","25-8","18-28","43-35","39-42","5-9","22-20","61-53","21-24","39-56","43-21","3-7","7-13","10-20",5722,3762,1063,37,118079,664,528,247,50,24751,81.88,80.65,1016,33,50.32,7.09,0,0,5.22,1.625,315.498333333333,3.52666666666667,19.7445833333333,44.9743,2.11916666666667,8.39375,9.91666666666667,1.43458333333333
6102706,2024-09-27,2024-09-29,"2:10 PM","Sun","minnesota-twins","baltimore-orioles",0.8,"Minnesota Twins","min","MIN","Twins",142,82,77,0.516,"L 1",4.6,4.5,0.1,-0.1,0.1,"82-77",0,"10-18","29-23","25-8","18-28","43-35","39-42","5-9","22-20","61-53","21-24","39-56","43-21","3-7","7-13","10-20",5722,3762,1063,37,118079,664,528,247,50,24751,78.98,78.98,1018,34,48.04,7.09,0,0,5.13,1.91666666666667,245.681666666667,1.25416666666667,11.9470833333333,44.9743,1.86791666666667,7.01916666666667,8.12333333333333,0.99375
6102724,2024-09-27,2024-09-27,"7:10 PM","Fri","minnesota-twins","baltimore-orioles",0.823,"Minnesota Twins","min","MIN","Twins",142,82,77,0.516,"L 1",4.6,4.5,0.1,-0.1,0.1,"82-77",0,"10-18","29-23","25-8","18-28","43-35","39-42","5-9","22-20","61-53","21-24","39-56","43-21","3-7","7-13","10-20",5722,3762,1063,37,118079,664,528,247,50,24751,78.46,78.21,1015,47,56.57,5.73,0,0,5.13,2.14285714285714,299.452857142857,3.40714285714286,16.1757142857143,44.9743,4.72857142857143,10.8957142857143,12.2514285714286,2.04571428571429
6102947,2024-09-27,2024-09-27,"7:05 PM","Fri","new-york-yankees","pittsburgh-pirates",0.855,"New York Yankees","nya","NYY","Yankees",147,93,66,0.585,"W 1",5.1,4.1,1,-0.1,0.9,"95-64",-2,"26-26","24-7","21-12","22-21","43-35","50-31","8-8","19-18","73-43","20-23","55-38","38-28","7-3","13-7","17-13",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,72.27,72.25,1015,65,59.85,8.43,100,1,4.25,2.42857142857143,334.738571428571,0.755714285714286,23.71,40.8198,4.04428571428571,8.26285714285714,11.0385714285714,1.13714285714286
6102948,2024-09-27,2024-09-28,"1:05 PM","Sat","new-york-yankees","pittsburgh-pirates",0.846,"New York Yankees","nya","NYY","Yankees",147,93,66,0.585,"W 1",5.1,4.1,1,-0.1,0.9,"95-64",-2,"26-26","24-7","21-12","22-21","43-35","50-31","8-8","19-18","73-43","20-23","55-38","38-28","7-3","13-7","17-13",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,74.44,74.55,1015,63,61.07,9.53,94,1,2.56,1.70833333333333,358.125416666667,0.2125,22.23125,40.8198,2.19166666666667,10.6879166666667,13.7970833333333,0.45125
6102949,2024-09-27,2024-09-29,"3:05 PM","Sun","new-york-yankees","pittsburgh-pirates",0.834,"New York Yankees","nya","NYY","Yankees",147,93,66,0.585,"W 1",5.1,4.1,1,-0.1,0.9,"95-64",-2,"26-26","24-7","21-12","22-21","43-35","50-31","8-8","19-18","73-43","20-23","55-38","38-28","7-3","13-7","17-13",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,66.78,66.31,1018,67,55.33,8.7,100,1,2.66,1.54166666666667,280.102916666667,0.816666666666667,15.12625,40.8198,3.28291666666667,5.5925,8.44708333333333,0.580416666666667
6103673,2024-09-27,2024-09-27,"7:15 PM","Fri","san-francisco-giants","st-louis-cardinals",0.844,"San Francisco Giants","sfn","SF","Giants",137,79,80,0.497,"L 1",4.3,4.3,0,0.1,0.1,"80-79",-1,"16-17","14-14","26-26","23-23","41-37","38-43","7-9","23-24","60-55","19-25","45-57","34-23","7-3","11-9","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,70.88,70.57,1011,62,57.22,8.3,0,0,6.04,3.14285714285714,678.062857142857,27.9571428571429,61.5928571428571,37.7799,11.67,28.3685714285714,39.0628571428571,5.01714285714286
6103674,2024-09-27,2024-09-28,"1:05 PM","Sat","san-francisco-giants","st-louis-cardinals",0.843,"San Francisco Giants","sfn","SF","Giants",137,79,80,0.497,"L 1",4.3,4.3,0,0.1,0.1,"80-79",-1,"16-17","14-14","26-26","23-23","41-37","38-43","7-9","23-24","60-55","19-25","45-57","34-23","7-3","11-9","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,65.48,64.98,1011,69,54.19,10.6,10,0,6.13,1.54166666666667,341.714583333333,1.88458333333333,25.13375,37.7799,2.51541666666667,7.675,12.0704166666667,1.61125
6103676,2024-09-27,2024-09-29,"12:05 PM","Sun","san-francisco-giants","st-louis-cardinals",0.83,"San Francisco Giants","sfn","SF","Giants",137,79,80,0.497,"L 1",4.3,4.3,0,0.1,0.1,"80-79",-1,"16-17","14-14","26-26","23-23","41-37","38-43","7-9","23-24","60-55","19-25","45-57","34-23","7-3","11-9","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,65.93,65.32,1013,66,53.37,8.84,15,0,6.18,1.91666666666667,251.592916666667,0.522916666666667,6.70541666666667,37.7799,2.20833333333333,6.6725,14.78125,0.329583333333333
6103829,2024-09-27,2024-09-27,"7:10 PM","Fri","seattle-mariners","oakland-athletics",0.843,"Seattle Mariners","sea","SEA","Mariners",136,82,77,0.516,"W 1",4.2,3.8,0.4,-0.1,0.3,"87-72",-5,"13-19","14-18","29-20","26-20","46-32","36-45","8-8","26-28","59-55","23-22","40-46","42-31","6-4","13-7","17-13",14469,7231,1448,357,60955,927,623,327,191,8599,64.09,63.39,1021,68,53.33,9.51,72,0.95,3.93,1.57142857142857,254.155714285714,0.994285714285714,8.06142857142857,47.6017,1.64,2.82714285714286,6.49285714285714,0.262857142857143
6103831,2024-09-27,2024-09-28,"6:40 PM","Sat","seattle-mariners","oakland-athletics",0.825,"Seattle Mariners","sea","SEA","Mariners",136,82,77,0.516,"W 1",4.2,3.8,0.4,-0.1,0.3,"87-72",-5,"13-19","14-18","29-20","26-20","46-32","36-45","8-8","26-28","59-55","23-22","40-46","42-31","6-4","13-7","17-13",14469,7231,1448,357,60955,927,623,327,191,8599,61.07,59.7,1015,60,46.42,7.31,100,0,3.22,1.625,241.299166666667,0.215,5.63708333333333,47.6017,1.8275,2.22208333333333,5.18166666666667,0.146666666666667
6103833,2024-09-27,2024-09-29,"12:10 PM","Sun","seattle-mariners","oakland-athletics",0.823,"Seattle Mariners","sea","SEA","Mariners",136,82,77,0.516,"W 1",4.2,3.8,0.4,-0.1,0.3,"87-72",-5,"13-19","14-18","29-20","26-20","46-32","36-45","8-8","26-28","59-55","23-22","40-46","42-31","6-4","13-7","17-13",14469,7231,1448,357,60955,927,623,327,191,8599,57.79,55.99,1024,58,42.35,7.4,49,0,2.49,1.41666666666667,265.083333333333,0.85125,12.0204166666667,47.6017,2.61625,3.15833333333333,5.60541666666667,0.42125
6104640,2024-09-27,2024-09-28,"4:05 PM","Sat","washington-nationals","philadelphia-phillies",0.844,"Washington Nationals","was","WSH","Nationals",120,69,90,0.434,"L 4",4,4.7,-0.7,0.1,-0.6,"68-91",1,"23-26","15-18","10-21","21-25","36-42","33-48","5-12","14-23","50-62","19-28","36-66","33-24","1-9","7-13","11-19",34535,22741,8291,586,141280,1463,1080,1091,408,8230,82.72,82.78,1012,45,59.14,9.86,38,1,6.19,1.54166666666667,280.799166666667,0.44125,8.72083333333333,38.87,2.14375,3.22125,3.89708333333333,0.41625
