"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
17058676,2025-03-01,2025-03-01,"1:05 PM","Sat","los-angeles-dodgers","san-francisco-giants",0.915,"Los Angeles Dodgers","lan","LAD","Dodgers",119,98,64,0.605,"W 5",5.2,4.2,1,0,1,"96-66",2,"19-12","18-15","31-21","30-16","52-29","46-35","9-7","21-17","62-47","36-17","51-41","47-23","8-2","13-7","20-10",39709,10063,5465,6587,53278,2133,1055,702,834,4801,61.16,59.88,1013,62,48.06,11.92,99,0,5.13,3.28571428571429,620.364285714286,29.3042857142857,63.3057142857143,34.0724,9.53428571428572,35.6814285714286,47.6628571428571,0.944285714285714
17058687,2025-03-01,2025-03-02,"1:05 PM","Sun","los-angeles-dodgers","chicago-white-sox",0.864,"Los Angeles Dodgers","lan","LAD","Dodgers",119,98,64,0.605,"W 5",5.2,4.2,1,0,1,"96-66",2,"19-12","18-15","31-21","30-16","52-29","46-35","9-7","21-17","62-47","36-17","51-41","47-23","8-2","13-7","20-10",39709,10063,5465,6587,53278,2133,1055,702,834,4801,60.89,58.66,1018,42,37.17,20.2,14,0.97,5.73,2.25,312.646666666667,0.350833333333333,22.7779166666667,34.0724,5.28166666666667,10.8616666666667,18.8370833333333,0.63125
17058688,2025-03-01,2025-03-04,"6:05 PM","Tue","los-angeles-dodgers","cincinnati-reds",0.823,"Los Angeles Dodgers","lan","LAD","Dodgers",119,98,64,0.605,"W 5",5.2,4.2,1,0,1,"96-66",2,"19-12","18-15","31-21","30-16","52-29","46-35","9-7","21-17","62-47","36-17","51-41","47-23","8-2","13-7","20-10",39709,10063,5465,6587,53278,2133,1055,702,834,4801,64.22,62.28,1019,41,39.97,9.19,15,0,6.22,2.66666666666667,647.82375,38.9775,60.5129166666667,34.0724,4.4175,23.1845833333333,34.2195833333333,1.48083333333333
17058777,2025-03-01,2025-03-01,"1:05 PM","Sat","atlanta-braves","toronto-blue-jays",0.839,"Atlanta Braves","atl","ATL","Braves",144,89,73,0.549,"W 1",4.3,3.7,0.6,0,0.6,"92-70",-3,"28-24","13-17","17-17","31-15","46-35","43-38","12-5","18-25","60-56","29-17","52-41","37-32","7-3","12-8","17-13",33230,17179,9470,735,88296,2054,1543,993,217,4823,66.83,64.58,1011,29,33.58,16.4,0,0,4.85,3,256.062857142857,0.481428571428571,2.97571428571429,33.7469,2.22857142857143,6.03428571428571,8.06142857142857,3.79857142857143
17058779,2025-03-01,2025-03-04,"1:05 PM","Tue","atlanta-braves","minnesota-twins",0.796,"Atlanta Braves","atl","ATL","Braves",144,89,73,0.549,"W 1",4.3,3.7,0.6,0,0.6,"92-70",-3,"28-24","13-17","17-17","31-15","46-35","43-38","12-5","18-25","60-56","29-17","52-41","37-32","7-3","12-8","17-13",33230,17179,9470,735,88296,2054,1543,993,217,4823,57.65,55.85,1018,58,43.12,21.09,100,0,4.88,2.125,322.800416666667,0.744166666666667,15.0379166666667,33.7469,3.66333333333333,9.47833333333333,13.5779166666667,1.645
17058780,2025-03-01,2025-03-02,"1:05 PM","Sun","atlanta-braves","new-york-yankees",0.854,"Atlanta Braves","atl","ATL","Braves",144,89,73,0.549,"W 1",4.3,3.7,0.6,0,0.6,"92-70",-3,"28-24","13-17","17-17","31-15","46-35","43-38","12-5","18-25","60-56","29-17","52-41","37-32","7-3","12-8","17-13",33230,17179,9470,735,88296,2054,1543,993,217,4823,50.81,46.53,1023,20,11.62,12.19,21,0,4.6,2.16666666666667,284.970416666667,1.16791666666667,9.08666666666667,33.7469,3.87,6.45041666666667,9.13083333333333,4.36458333333333
17058809,2025-03-01,2025-03-05,"1:05 PM","Wed","houston-astros","st-louis-cardinals",0.776,"Houston Astros","hou","HOU","Astros",117,88,73,0.547,"W 2",4.6,4,0.6,-0.1,0.4,"90-71",-2,"19-14","18-12","29-23","22-24","46-35","42-38","6-10","18-27","63-52","25-21","41-43","47-30","6-4","12-8","18-12",18892,8101,6526,811,70992,2647,1076,1631,258,14502,71.87,69.75,1016,21,30.74,9.17,0,0,7,2.29411764705882,278.81,0.177058823529412,10.0476470588235,29.7605,2.77882352941176,10.13,37.8458823529412,1.89705882352941
17058810,2025-03-01,2025-03-02,"1:05 PM","Sun","houston-astros","washington-nationals",0.802,"Houston Astros","hou","HOU","Astros",117,88,73,0.547,"W 2",4.6,4,0.6,-0.1,0.4,"90-71",-2,"19-14","18-12","29-23","22-24","46-35","42-38","6-10","18-27","63-52","25-21","41-43","47-30","6-4","12-8","18-12",18892,8101,6526,811,70992,2647,1076,1631,258,14502,68.68,67.78,1019,54,51.15,15.19,100,0,5.48,2.875,538.78625,5.39083333333333,54.8258333333333,29.7605,6.46791666666667,22.1941666666667,27.5458333333333,3.24916666666667
17058844,2025-03-01,2025-03-02,"1:05 PM","Sun","minnesota-twins","tampa-bay-rays",0.796,"Minnesota Twins","min","MIN","Twins",142,82,80,0.506,"L 4",4.6,4.5,0,-0.1,0,"82-80",0,"10-21","29-23","25-8","18-28","43-38","39-42","5-9","22-20","61-55","21-25","39-59","43-21","2-8","6-14","10-20",5722,3762,1063,37,118079,664,528,247,50,24751,35.37,30.02,1020,19,-2.52,6.73,79,0,3.02,2.08333333333333,472.864583333333,5.62291666666667,42.1004166666667,44.9743,3.34416666666667,11.2679166666667,15.5658333333333,9.19416666666667
17058849,2025-03-01,2025-03-05,"1:05 PM","Wed","minnesota-twins","baltimore-orioles",0.754,"Minnesota Twins","min","MIN","Twins",142,82,80,0.506,"L 4",4.6,4.5,0,-0.1,0,"82-80",0,"10-21","29-23","25-8","18-28","43-38","39-42","5-9","22-20","61-55","21-25","39-59","43-21","2-8","6-14","10-20",5722,3762,1063,37,118079,664,528,247,50,24751,29.73,17.73,1003,80,24.08,18.03,100,1,1,1.94117647058824,264.084705882353,0.04,3.46647058823529,44.9743,0.818823529411765,0.863529411764706,1.31117647058824,0.554705882352941
