"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100050,"Regular Season","2024-04-07",2024-04-12,"6:40 PM","Fri","arizona-diamondbacks","st-louis-cardinals",1470,108,40,706,7544
6100056,"Regular Season","2024-04-07",2024-04-13,"5:10 PM","Sat","arizona-diamondbacks","st-louis-cardinals",1588,114,40,823,8451
6100207,"Regular Season","2024-04-07",2024-04-07,"1:35 PM","Sun","atlanta-braves","arizona-diamondbacks",140,100,36,695,298
6100209,"Regular Season","2024-04-07",2024-04-08,"7:20 PM","Mon","atlanta-braves","new-york-mets",625,97,16,1185,1826
6100212,"Regular Season","2024-04-07",2024-04-09,"7:20 PM","Tue","atlanta-braves","new-york-mets",1102,75,11,1185,3541
6100213,"Regular Season","2024-04-07",2024-04-10,"7:20 PM","Wed","atlanta-braves","new-york-mets",997,79,13,1185,3212
6100214,"Regular Season","2024-04-07",2024-04-11,"12:20 PM","Thu","atlanta-braves","new-york-mets",889,82,11,1404,2813
6100377,"Regular Season","2024-04-07",2024-04-12,"7:05 PM","Fri","baltimore-orioles","milwaukee-brewers",528,90,28,4127,2722
6100380,"Regular Season","2024-04-07",2024-04-13,"4:05 PM","Sat","baltimore-orioles","milwaukee-brewers",560,102,27,4127,2773
6100386,"Regular Season","2024-04-07",2024-04-14,"1:35 PM","Sun","baltimore-orioles","milwaukee-brewers",489,96,26,4127,2288
6100526,"Regular Season","2024-04-07",2024-04-10,"7:10 PM","Wed","boston-red-sox","baltimore-orioles",1070,73,12,595,3292
6100528,"Regular Season","2024-04-07",2024-04-11,"7:10 PM","Thu","boston-red-sox","baltimore-orioles",1230,68,17,665,3985
6100530,"Regular Season","2024-04-07",2024-04-09,"2:10 PM","Tue","boston-red-sox","baltimore-orioles",813,251,74,35405,2708
6100532,"Regular Season","2024-04-07",2024-04-13,"4:10 PM","Sat","boston-red-sox","los-angeles-angels",1123,129,39,1192,3674
6100540,"Regular Season","2024-04-07",2024-04-14,"1:35 PM","Sun","boston-red-sox","los-angeles-angels",1086,113,33,1060,3112
6100550,"Regular Season","2024-04-07",2024-04-12,"7:10 PM","Fri","boston-red-sox","los-angeles-angels",1228,99,24,1127,4120
6100706,"Regular Season","2024-04-07",2024-04-07,"1:20 PM","Sun","chicago-cubs","los-angeles-dodgers",830,90,16,11804,2020
6100856,"Regular Season","2024-04-07",2024-04-12,"6:40 PM","Fri","chicago-white-sox","cincinnati-reds",556,60,11,413,2414
6100892,"Regular Season","2024-04-07",2024-04-13,"1:10 PM","Sat","chicago-white-sox","cincinnati-reds",481,80,23,425,2040
6101022,"Regular Season","2024-04-07",2024-04-07,"1:40 PM","Sun","cincinnati-reds","new-york-mets",31,68,27,211,196
6101023,"Regular Season","2024-04-07",2024-04-09,"6:40 PM","Tue","cincinnati-reds","milwaukee-brewers",336,91,19,5905,1302
6101025,"Regular Season","2024-04-07",2024-04-10,"6:40 PM","Wed","cincinnati-reds","milwaukee-brewers",360,69,16,5905,1518
6101026,"Regular Season","2024-04-07",2024-04-08,"6:40 PM","Mon","cincinnati-reds","milwaukee-brewers",302,76,14,5905,1224
6101030,"Regular Season","2024-04-07",2024-04-11,"1:10 PM","Thu","cincinnati-reds","milwaukee-brewers",437,54,14,400,1987
6101173,"Regular Season","2024-04-07",2024-04-12,"7:10 PM","Fri","cleveland-guardians","new-york-yankees",576,94,35,356,2750
6101177,"Regular Season","2024-04-07",2024-04-08,"5:10 PM","Mon","cleveland-guardians","chicago-white-sox",478,212,60,35405,1630
6101178,"Regular Season","2024-04-07",2024-04-10,"6:10 PM","Wed","cleveland-guardians","chicago-white-sox",422,82,23,211,1965
6101180,"Regular Season","2024-04-07",2024-04-13,"6:10 PM","Sat","cleveland-guardians","new-york-yankees",540,108,52,473,2543
6101199,"Regular Season","2024-04-07",2024-04-09,"6:10 PM","Tue","cleveland-guardians","chicago-white-sox",550,80,28,205,2875
6101340,"Regular Season","2024-04-07",2024-04-07,"1:10 PM","Sun","colorado-rockies","tampa-bay-rays",273,47,16,108,983
6101341,"Regular Season","2024-04-07",2024-04-08,"6:40 PM","Mon","colorado-rockies","arizona-diamondbacks",468,39,11,149,2274
6101342,"Regular Season","2024-04-07",2024-04-09,"6:40 PM","Tue","colorado-rockies","arizona-diamondbacks",464,40,12,149,2265
6101343,"Regular Season","2024-04-07",2024-04-10,"1:10 PM","Wed","colorado-rockies","arizona-diamondbacks",427,42,14,383,2182
6101419,"Regular Season","2024-04-07",2024-04-11,"1:10 PM","Thu","detroit-tigers","minnesota-twins",627,63,8,243,2426
6101421,"Regular Season","2024-04-07",2024-04-07,"1:40 PM","Sun","detroit-tigers","oakland-athletics",152,76,31,177,537
6101424,"Regular Season","2024-04-07",2024-04-12,"6:40 PM","Fri","detroit-tigers","minnesota-twins",579,78,12,425,2184
6101425,"Regular Season","2024-04-07",2024-04-13,"1:10 PM","Sat","detroit-tigers","minnesota-twins",566,83,16,455,2015
6101431,"Regular Season","2024-04-07",2024-04-14,"1:40 PM","Sun","detroit-tigers","minnesota-twins",592,78,13,275,2315
6101590,"Regular Season","2024-04-07",2024-04-13,"3:05 PM","Sat","houston-astros","texas-rangers",754,189,58,677,2988
6101613,"Regular Season","2024-04-07",2024-04-12,"7:10 PM","Fri","houston-astros","texas-rangers",755,174,46,731,2981
6101750,"Regular Season","2024-04-07",2024-04-07,"1:10 PM","Sun","kansas-city-royals","chicago-white-sox",118,52,11,235,425
6101753,"Regular Season","2024-04-07",2024-04-11,"1:10 PM","Thu","kansas-city-royals","houston-astros",592,67,8,436,2618
6101754,"Regular Season","2024-04-07",2024-04-10,"6:40 PM","Wed","kansas-city-royals","houston-astros",626,73,13,580,2782
6101774,"Regular Season","2024-04-07",2024-04-09,"6:40 PM","Tue","kansas-city-royals","houston-astros",590,67,15,522,2711
6101905,"Regular Season","2024-04-07",2024-04-08,"6:38 PM","Mon","los-angeles-angels","tampa-bay-rays",1148,38,7,407,5111
6101909,"Regular Season","2024-04-07",2024-04-09,"6:38 PM","Tue","los-angeles-angels","tampa-bay-rays",1178,38,6,465,5313
6101911,"Regular Season","2024-04-07",2024-04-10,"1:07 PM","Wed","los-angeles-angels","tampa-bay-rays",1255,36,6,350,5941
6101931,"Regular Season","2024-04-07",2024-04-07,"1:07 PM","Sun","los-angeles-angels","boston-red-sox",279,83,15,356,813
6102078,"Regular Season","2024-04-07",2024-04-13,"6:10 PM","Sat","los-angeles-dodgers","san-diego-padres",1190,228,61,2602,4933
6102079,"Regular Season","2024-04-07",2024-04-12,"7:10 PM","Fri","los-angeles-dodgers","san-diego-padres",1218,194,52,2477,5088
6102236,"Regular Season","2024-04-07",2024-04-13,"4:10 PM","Sat","miami-marlins","atlanta-braves",610,64,20,590,2757
6102237,"Regular Season","2024-04-07",2024-04-12,"7:10 PM","Fri","miami-marlins","atlanta-braves",615,61,15,397,2556
6102386,"Regular Season","2024-04-07",2024-04-07,"1:10 PM","Sun","milwaukee-brewers","seattle-mariners",197,54,25,120,739
6102551,"Regular Season","2024-04-07",2024-04-07,"1:10 PM","Sun","minnesota-twins","cleveland-guardians",82,64,11,358,219
6102556,"Regular Season","2024-04-07",2024-04-09,"6:40 PM","Tue","minnesota-twins","los-angeles-dodgers",688,102,22,574,3756
6102558,"Regular Season","2024-04-07",2024-04-10,"12:10 PM","Wed","minnesota-twins","los-angeles-dodgers",697,103,22,574,3571
6102579,"Regular Season","2024-04-07",2024-04-08,"6:40 PM","Mon","minnesota-twins","los-angeles-dodgers",782,103,16,488,4130
6102719,"Regular Season","2024-04-07",2024-04-12,"7:10 PM","Fri","new-york-mets","kansas-city-royals",1631,74,17,721,8414
6102721,"Regular Season","2024-04-07",2024-04-13,"1:40 PM","Sat","new-york-mets","kansas-city-royals",1607,98,28,1138,8296
6102870,"Regular Season","2024-04-07",2024-04-07,"1:35 PM","Sun","new-york-yankees","toronto-blue-jays",87,153,59,415,250
6102871,"Regular Season","2024-04-07",2024-04-08,"6:05 PM","Mon","new-york-yankees","miami-marlins",485,114,15,1041,1716
6102872,"Regular Season","2024-04-07",2024-04-09,"7:05 PM","Tue","new-york-yankees","miami-marlins",473,335,15,117590,1886
6102874,"Regular Season","2024-04-07",2024-04-10,"7:05 PM","Wed","new-york-yankees","miami-marlins",479,101,13,1176,1908
