"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100050,"Regular Season","2024-04-11",2024-04-12,"6:40 PM","Fri","arizona-diamondbacks","st-louis-cardinals",1337,101,43,308,6405
6100056,"Regular Season","2024-04-11",2024-04-13,"5:10 PM","Sat","arizona-diamondbacks","st-louis-cardinals",1471,109,41,788,7198
6100061,"Regular Season","2024-04-11",2024-04-14,"1:10 PM","Sun","arizona-diamondbacks","st-louis-cardinals",1574,101,31,564,7408
6100062,"Regular Season","2024-04-11",2024-04-15,"6:40 PM","Mon","arizona-diamondbacks","chicago-cubs",1564,98,36,788,8663
6100069,"Regular Season","2024-04-11",2024-04-16,"6:40 PM","Tue","arizona-diamondbacks","chicago-cubs",444,89,33,688,2277
6100070,"Regular Season","2024-04-11",2024-04-17,"12:40 PM","Wed","arizona-diamondbacks","chicago-cubs",383,88,30,802,2172
6100214,"Regular Season","2024-04-11",2024-04-11,"12:20 PM","Thu","atlanta-braves","new-york-mets",1090,33,9,733,3441
6100377,"Regular Season","2024-04-11",2024-04-12,"7:05 PM","Fri","baltimore-orioles","milwaukee-brewers",535,132,36,3955,2591
6100380,"Regular Season","2024-04-11",2024-04-13,"4:05 PM","Sat","baltimore-orioles","milwaukee-brewers",630,131,34,3955,3320
6100383,"Regular Season","2024-04-11",2024-04-15,"6:35 PM","Mon","baltimore-orioles","minnesota-twins",674,85,14,3955,3434
6100385,"Regular Season","2024-04-11",2024-04-16,"6:35 PM","Tue","baltimore-orioles","minnesota-twins",594,93,11,4024,2975
6100386,"Regular Season","2024-04-11",2024-04-14,"1:35 PM","Sun","baltimore-orioles","milwaukee-brewers",492,127,26,3955,2200
6100388,"Regular Season","2024-04-11",2024-04-17,"1:05 PM","Wed","baltimore-orioles","minnesota-twins",693,91,14,12055,3518
6100528,"Regular Season","2024-04-11",2024-04-11,"7:10 PM","Thu","boston-red-sox","baltimore-orioles",713,55,13,453,1913
6100532,"Regular Season","2024-04-11",2024-04-13,"4:10 PM","Sat","boston-red-sox","los-angeles-angels",913,133,42,1142,2904
6100535,"Regular Season","2024-04-11",2024-04-15,"11:10 AM","Mon","boston-red-sox","cleveland-guardians",927,149,61,733,2797
6100536,"Regular Season","2024-04-11",2024-04-16,"7:10 PM","Tue","boston-red-sox","cleveland-guardians",1363,70,15,658,4327
6100540,"Regular Season","2024-04-11",2024-04-14,"1:35 PM","Sun","boston-red-sox","los-angeles-angels",877,119,37,1016,2366
6100542,"Regular Season","2024-04-11",2024-04-17,"7:10 PM","Wed","boston-red-sox","cleveland-guardians",1191,70,13,658,3735
6100544,"Regular Season","2024-04-11",2024-04-18,"1:35 PM","Thu","boston-red-sox","cleveland-guardians",1014,89,20,757,3297
6100550,"Regular Season","2024-04-11",2024-04-12,"7:10 PM","Fri","boston-red-sox","los-angeles-angels",1260,123,27,946,4295
6100700,"Regular Season","2024-04-11",2024-04-18,"6:40 PM","Thu","chicago-cubs","miami-marlins",1517,54,7,6399,4261
6100856,"Regular Season","2024-04-11",2024-04-12,"6:40 PM","Fri","chicago-white-sox","cincinnati-reds",490,60,11,396,2052
6100861,"Regular Season","2024-04-11",2024-04-15,"6:40 PM","Mon","chicago-white-sox","kansas-city-royals",491,52,10,329,2240
6100862,"Regular Season","2024-04-11",2024-04-14,"1:10 PM","Sun","chicago-white-sox","cincinnati-reds",434,66,11,406,1822
6100865,"Regular Season","2024-04-11",2024-04-17,"1:10 PM","Wed","chicago-white-sox","kansas-city-royals",529,51,7,335,2463
6100867,"Regular Season","2024-04-11",2024-04-16,"6:40 PM","Tue","chicago-white-sox","kansas-city-royals",505,51,9,335,2297
6100892,"Regular Season","2024-04-11",2024-04-13,"1:10 PM","Sat","chicago-white-sox","cincinnati-reds",437,76,18,407,2166
6101173,"Regular Season","2024-04-11",2024-04-12,"7:10 PM","Fri","cleveland-guardians","new-york-yankees",618,89,24,332,2833
6101180,"Regular Season","2024-04-11",2024-04-13,"6:10 PM","Sat","cleveland-guardians","new-york-yankees",471,102,44,306,2074
6101181,"Regular Season","2024-04-11",2024-04-14,"1:40 PM","Sun","cleveland-guardians","new-york-yankees",455,104,50,1368,2208
6101424,"Regular Season","2024-04-11",2024-04-12,"6:40 PM","Fri","detroit-tigers","minnesota-twins",581,80,11,249,2036
6101425,"Regular Season","2024-04-11",2024-04-13,"1:10 PM","Sat","detroit-tigers","minnesota-twins",558,94,30,242,1981
6101429,"Regular Season","2024-04-11",2024-04-15,"6:40 PM","Mon","detroit-tigers","texas-rangers",555,70,11,292,2041
6101431,"Regular Season","2024-04-11",2024-04-14,"1:40 PM","Sun","detroit-tigers","minnesota-twins",561,96,18,264,2099
6101433,"Regular Season","2024-04-11",2024-04-16,"1:10 PM","Tue","detroit-tigers","texas-rangers",669,59,8,233,2469
6101435,"Regular Season","2024-04-11",2024-04-17,"1:10 PM","Wed","detroit-tigers","texas-rangers",650,64,8,414,2638
6101461,"Regular Season","2024-04-11",2024-04-18,"1:10 PM","Thu","detroit-tigers","texas-rangers",621,66,7,1291,2494
6101590,"Regular Season","2024-04-11",2024-04-13,"3:05 PM","Sat","houston-astros","texas-rangers",733,175,46,686,2542
6101592,"Regular Season","2024-04-11",2024-04-14,"1:10 PM","Sun","houston-astros","texas-rangers",725,149,41,724,2721
6101594,"Regular Season","2024-04-11",2024-04-15,"7:10 PM","Mon","houston-astros","atlanta-braves",806,130,19,520,3388
6101597,"Regular Season","2024-04-11",2024-04-16,"7:10 PM","Tue","houston-astros","atlanta-braves",830,134,28,1245,3299
6101599,"Regular Season","2024-04-11",2024-04-17,"1:10 PM","Wed","houston-astros","atlanta-braves",796,143,25,647,3257
6101613,"Regular Season","2024-04-11",2024-04-12,"7:10 PM","Fri","houston-astros","texas-rangers",684,157,38,672,2284
6101753,"Regular Season","2024-04-11",2024-04-11,"1:10 PM","Thu","kansas-city-royals","houston-astros",237,51,13,397,818
6102078,"Regular Season","2024-04-11",2024-04-13,"6:10 PM","Sat","los-angeles-dodgers","san-diego-padres",1214,215,58,14092,4974
6102079,"Regular Season","2024-04-11",2024-04-12,"7:10 PM","Fri","los-angeles-dodgers","san-diego-padres",1027,264,58,63893,4032
6102081,"Regular Season","2024-04-11",2024-04-14,"4:10 PM","Sun","los-angeles-dodgers","san-diego-padres",1227,183,44,11561,4777
6102083,"Regular Season","2024-04-11",2024-04-15,"7:10 PM","Mon","los-angeles-dodgers","washington-nationals",1493,158,36,2344,6753
