"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100688,"Regular Season","2024-03-26",2024-04-03,"6:40 PM","Wed","chicago-cubs","colorado-rockies",1465,51,6,1176,4393
6100693,"Regular Season","2024-03-26",2024-04-05,"1:20 PM","Fri","chicago-cubs","los-angeles-dodgers",1002,225,22,117004,3108
6100699,"Regular Season","2024-03-26",2024-04-06,"3:05 PM","Sat","chicago-cubs","los-angeles-dodgers",886,175,41,6323,2901
6100706,"Regular Season","2024-03-26",2024-04-07,"1:20 PM","Sun","chicago-cubs","los-angeles-dodgers",1061,115,19,1028,3277
6101016,"Regular Season","2024-03-26",2024-04-05,"6:40 PM","Fri","cincinnati-reds","new-york-mets",393,88,20,380,1687
6101017,"Regular Season","2024-03-26",2024-04-06,"4:10 PM","Sat","cincinnati-reds","new-york-mets",406,88,16,504,1804
6101022,"Regular Season","2024-03-26",2024-04-07,"1:40 PM","Sun","cincinnati-reds","new-york-mets",403,78,17,450,1929
6101023,"Regular Season","2024-03-26",2024-04-09,"6:40 PM","Tue","cincinnati-reds","milwaukee-brewers",394,68,10,285,1990
6101025,"Regular Season","2024-03-26",2024-04-10,"6:40 PM","Wed","cincinnati-reds","milwaukee-brewers",399,80,11,5855,2085
6101026,"Regular Season","2024-03-26",2024-04-08,"6:40 PM","Mon","cincinnati-reds","milwaukee-brewers",382,66,12,287,1988
6101030,"Regular Season","2024-03-26",2024-04-11,"1:10 PM","Thu","cincinnati-reds","milwaukee-brewers",397,75,16,329,2028
6101177,"Regular Season","2024-03-26",2024-04-08,"5:10 PM","Mon","cleveland-guardians","chicago-white-sox",536,199,75,593,2207
6101178,"Regular Season","2024-03-26",2024-04-10,"6:10 PM","Wed","cleveland-guardians","chicago-white-sox",395,85,28,238,1931
6101199,"Regular Season","2024-03-26",2024-04-09,"6:10 PM","Tue","cleveland-guardians","chicago-white-sox",508,84,23,242,2787
6101326,"Regular Season","2024-03-26",2024-04-05,"2:10 PM","Fri","colorado-rockies","tampa-bay-rays",689,159,77,882,3668
6101338,"Regular Season","2024-03-26",2024-04-06,"6:10 PM","Sat","colorado-rockies","tampa-bay-rays",642,77,26,597,3546
6101340,"Regular Season","2024-03-26",2024-04-07,"1:10 PM","Sun","colorado-rockies","tampa-bay-rays",698,68,19,381,4196
6101341,"Regular Season","2024-03-26",2024-04-08,"6:40 PM","Mon","colorado-rockies","arizona-diamondbacks",544,51,15,416,3409
6101342,"Regular Season","2024-03-26",2024-04-09,"6:40 PM","Tue","colorado-rockies","arizona-diamondbacks",419,50,16,416,2436
6101343,"Regular Season","2024-03-26",2024-04-10,"1:10 PM","Wed","colorado-rockies","arizona-diamondbacks",530,50,14,416,3327
6101415,"Regular Season","2024-03-26",2024-04-05,"1:10 PM","Fri","detroit-tigers","oakland-athletics",727,421,131,12055,2407
6101417,"Regular Season","2024-03-26",2024-04-06,"1:10 PM","Sat","detroit-tigers","oakland-athletics",490,126,46,1175,1697
6101419,"Regular Season","2024-03-26",2024-04-11,"1:10 PM","Thu","detroit-tigers","minnesota-twins",338,62,10,1175,1283
6101421,"Regular Season","2024-03-26",2024-04-07,"1:40 PM","Sun","detroit-tigers","oakland-athletics",632,97,15,1175,2601
6101586,"Regular Season","2024-03-26",2024-04-03,"7:10 PM","Wed","houston-astros","toronto-blue-jays",620,113,16,665,2509
6101748,"Regular Season","2024-03-26",2024-04-04,"6:40 PM","Thu","kansas-city-royals","chicago-white-sox",646,75,16,591,3093
6101749,"Regular Season","2024-03-26",2024-04-05,"6:40 PM","Fri","kansas-city-royals","chicago-white-sox",619,81,18,618,2975
6101750,"Regular Season","2024-03-26",2024-04-07,"1:10 PM","Sun","kansas-city-royals","chicago-white-sox",636,77,16,591,3054
6101753,"Regular Season","2024-03-26",2024-04-11,"1:10 PM","Thu","kansas-city-royals","houston-astros",399,73,15,533,1825
6101754,"Regular Season","2024-03-26",2024-04-10,"6:40 PM","Wed","kansas-city-royals","houston-astros",413,79,11,591,1898
6101767,"Regular Season","2024-03-26",2024-04-06,"6:10 PM","Sat","kansas-city-royals","chicago-white-sox",654,84,18,591,3078
6101774,"Regular Season","2024-03-26",2024-04-09,"6:40 PM","Tue","kansas-city-royals","houston-astros",610,78,15,591,2951
6101901,"Regular Season","2024-03-26",2024-04-05,"6:38 PM","Fri","los-angeles-angels","boston-red-sox",1027,127,34,957,5667
6101902,"Regular Season","2024-03-26",2024-04-06,"6:38 PM","Sat","los-angeles-angels","boston-red-sox",1106,86,20,712,5574
6101905,"Regular Season","2024-03-26",2024-04-08,"6:38 PM","Mon","los-angeles-angels","tampa-bay-rays",1064,66,9,11377,5434
6101909,"Regular Season","2024-03-26",2024-04-09,"6:38 PM","Tue","los-angeles-angels","tampa-bay-rays",1061,44,9,479,5407
6101911,"Regular Season","2024-03-26",2024-04-10,"1:07 PM","Wed","los-angeles-angels","tampa-bay-rays",1106,51,5,6323,5678
6101931,"Regular Season","2024-03-26",2024-04-07,"1:07 PM","Sun","los-angeles-angels","boston-red-sox",975,68,13,622,4531
6102070,"Regular Season","2024-03-26",2024-04-03,"7:10 PM","Wed","los-angeles-dodgers","san-francisco-giants",1302,207,57,2930,5806
6102386,"Regular Season","2024-03-26",2024-04-07,"1:10 PM","Sun","milwaukee-brewers","seattle-mariners",425,66,15,248,2117
6102388,"Regular Season","2024-03-26",2024-04-06,"6:10 PM","Sat","milwaukee-brewers","seattle-mariners",528,109,40,6323,2398
6102391,"Regular Season","2024-03-26",2024-04-05,"7:10 PM","Fri","milwaukee-brewers","seattle-mariners",415,66,15,248,2099
6102545,"Regular Season","2024-03-26",2024-04-04,"3:10 PM","Thu","minnesota-twins","cleveland-guardians",697,107,33,1104,3104
6102549,"Regular Season","2024-03-26",2024-04-06,"1:10 PM","Sat","minnesota-twins","cleveland-guardians",743,88,21,503,4085
6102551,"Regular Season","2024-03-26",2024-04-07,"1:10 PM","Sun","minnesota-twins","cleveland-guardians",835,85,18,473,4796
6102556,"Regular Season","2024-03-26",2024-04-09,"6:40 PM","Tue","minnesota-twins","los-angeles-dodgers",754,94,19,585,4291
6102558,"Regular Season","2024-03-26",2024-04-10,"12:10 PM","Wed","minnesota-twins","los-angeles-dodgers",399,85,17,742,1929
6102579,"Regular Season","2024-03-26",2024-04-08,"6:40 PM","Mon","minnesota-twins","los-angeles-dodgers",816,188,22,110042,4549
6102718,"Regular Season","2024-03-26",2024-04-03,"7:10 PM","Wed","new-york-mets","detroit-tigers",1262,67,10,1176,6531
6102869,"Regular Season","2024-03-26",2024-04-05,"1:05 PM","Fri","new-york-yankees","toronto-blue-jays",966,286,90,5856,5005
6102870,"Regular Season","2024-03-26",2024-04-07,"1:35 PM","Sun","new-york-yankees","toronto-blue-jays",1085,142,27,2066,5284
6102871,"Regular Season","2024-03-26",2024-04-08,"2:05 PM","Mon","new-york-yankees","miami-marlins",784,83,13,1410,3913
6102872,"Regular Season","2024-03-26",2024-04-09,"7:05 PM","Tue","new-york-yankees","miami-marlins",802,79,12,1412,4013
6102874,"Regular Season","2024-03-26",2024-04-10,"7:05 PM","Wed","new-york-yankees","miami-marlins",736,87,12,1416,3717
6102877,"Regular Season","2024-03-26",2024-04-06,"7:05 PM","Sat","new-york-yankees","toronto-blue-jays",972,182,37,6506,4633
6103269,"Regular Season","2024-03-26",2024-04-07,"1:35 PM","Sun","pittsburgh-pirates","baltimore-orioles",789,91,34,1175,4229
6103272,"Regular Season","2024-03-26",2024-04-06,"4:05 PM","Sat","pittsburgh-pirates","baltimore-orioles",664,92,42,1175,3439
6103273,"Regular Season","2024-03-26",2024-04-08,"6:40 PM","Mon","pittsburgh-pirates","detroit-tigers",666,86,26,1175,3557
6103276,"Regular Season","2024-03-26",2024-04-09,"12:35 PM","Tue","pittsburgh-pirates","detroit-tigers",641,88,28,1175,3426
6103278,"Regular Season","2024-03-26",2024-04-05,"4:12 PM","Fri","pittsburgh-pirates","baltimore-orioles",450,172,74,1175,1950
6103449,"Regular Season","2024-03-26",2024-04-03,"1:10 PM","Wed","san-diego-padres","st-louis-cardinals",663,71,15,766,2317
6103450,"Regular Season","2024-03-26",2024-04-08,"6:40 PM","Mon","san-diego-padres","chicago-cubs",643,79,16,646,2509
6103452,"Regular Season","2024-03-26",2024-04-09,"7:05 PM","Tue","san-diego-padres","chicago-cubs",654,82,17,765,2579
