"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100324,2024-08-18,2024-08-20,"7:20 PM","Tue","atlanta-braves","philadelphia-phillies",0.92,"Atlanta Braves","atl","ATL","Braves",144,65,58,0.528,"W 1",4.3,4,0.4,0,0.3,"67-56",-2,"18-16","11-15","13-14","23-13","32-26","33-32","9-4","13-18","42-45","23-13","33-28","32-30","5-5","10-10","13-17",33230,17179,9470,735,88296,2054,1543,993,217,4823,87.13,84.99,1015,31,53.1,11.86,15,0,8.73,1.83333333333333,288.587083333333,0.566666666666667,5.92958333333333,33.7469,2.13333333333333,3.85208333333333,5.195,1.18208333333333
6100326,2024-08-18,2024-08-21,"7:20 PM","Wed","atlanta-braves","philadelphia-phillies",0.894,"Atlanta Braves","atl","ATL","Braves",144,65,58,0.528,"W 1",4.3,4,0.4,0,0.3,"67-56",-2,"18-16","11-15","13-14","23-13","32-26","33-32","9-4","13-18","42-45","23-13","33-28","32-30","5-5","10-10","13-17",33230,17179,9470,735,88296,2054,1543,993,217,4823,83.97,82.18,1018,32,51.67,10.36,36,0,9.05,2.25,390.669166666667,0.3125,7.48125,33.7469,2.77625,6.89958333333333,8.23833333333333,2.02916666666667
6100328,2024-08-18,2024-08-22,"7:15 PM","Thu","atlanta-braves","philadelphia-phillies",0.899,"Atlanta Braves","atl","ATL","Braves",144,65,58,0.528,"W 1",4.3,4,0.4,0,0.3,"67-56",-2,"18-16","11-15","13-14","23-13","32-26","33-32","9-4","13-18","42-45","23-13","33-28","32-30","5-5","10-10","13-17",33230,17179,9470,735,88296,2054,1543,993,217,4823,84.97,83.62,1021,36,55.24,11.12,98,0,0.25,1.94117647058824,367.558235294118,0.211176470588235,10.4176470588235,33.7469,2.58176470588235,9.14294117647059,10.6623529411765,1.16588235294118
6100496,2024-08-18,2024-08-22,"7:15 PM","Thu","baltimore-orioles","houston-astros",0.869,"Baltimore Orioles","bal","BAL","Orioles",110,72,52,0.581,"L 2",5,4.3,0.7,0,0.7,"71-53",1,"27-15","14-6","16-12","15-19","36-28","36-24","5-4","12-14","54-37","18-15","42-27","30-25","5-5","11-9","15-15",17773,5834,9509,18,40932,1421,727,1010,22,8701,79.43,79.43,1024,30,44.98,5.01,0,0,0.59,1.17647058823529,266.048823529412,0.381176470588235,6.59117647058823,39.2852,1.59,1.96823529411765,3.20764705882353,0.774117647058824
6100500,2024-08-18,2024-08-18,"1:35 PM","Sun","baltimore-orioles","boston-red-sox",0.927,"Baltimore Orioles","bal","BAL","Orioles",110,72,52,0.581,"L 2",5,4.3,0.7,0,0.7,"71-53",1,"27-15","14-6","16-12","15-19","36-28","36-24","5-4","12-14","54-37","18-15","42-27","30-25","5-5","11-9","15-15",17773,5834,9509,18,40932,1421,727,1010,22,8701,80.71,85.95,1008,81,74.34,8.19,75,1,7.64,1,298.024285714286,0.122857142857143,7.08857142857143,39.2852,1.68,6.60285714285714,7.13714285714286,0.248571428571429
6100809,2024-08-18,2024-08-18,"1:20 PM","Sun","chicago-cubs","toronto-blue-jays",0.974,"Chicago Cubs","chn","CHC","Cubs",112,61,63,0.492,"W 2",4.2,4.2,0,0.1,0.1,"63-61",-2,"8-12","17-26","13-12","23-13","34-27","27-36","7-3","19-25","52-48","9-15","32-36","29-27","6-4","12-8","16-14",53085,17968,12502,755,65489,2212,1595,1321,281,7821,73.49,74.1,1014,76,65.46,15.77,100,1,6.15,2.14285714285714,291.35,0.492857142857143,3.20428571428571,41.9472,2.72714285714286,3.97428571428571,4.22857142857143,0.258571428571429
6100812,2024-08-18,2024-08-21,"7:05 PM","Wed","chicago-cubs","detroit-tigers",0.89,"Chicago Cubs","chn","CHC","Cubs",112,61,63,0.492,"W 2",4.2,4.2,0,0.1,0.1,"63-61",-2,"8-12","17-26","13-12","23-13","34-27","27-36","7-3","19-25","52-48","9-15","32-36","29-27","6-4","12-8","16-14",53085,17968,12502,755,65489,2212,1595,1321,281,7821,72.07,70.75,1025,38,44.67,10.27,14,0,7.1,1.875,312.924583333333,4.86916666666667,19.1216666666667,41.9472,5.0925,5.40625,7.225,0.85125
6100816,2024-08-18,2024-08-22,"1:20 PM","Thu","chicago-cubs","detroit-tigers",0.887,"Chicago Cubs","chn","CHC","Cubs",112,61,63,0.492,"W 2",4.2,4.2,0,0.1,0.1,"63-61",-2,"8-12","17-26","13-12","23-13","34-27","27-36","7-3","19-25","52-48","9-15","32-36","29-27","6-4","12-8","16-14",53085,17968,12502,755,65489,2212,1595,1321,281,7821,76.5,75.58,1024,37,46.49,10.47,16,0,0.21,1.70588235294118,419.981176470588,5.45235294117647,37.9917647058824,41.9472,6.97411764705882,8.64294117647059,11.6058823529412,1.30411764705882
6100840,2024-08-18,2024-08-20,"7:05 PM","Tue","chicago-cubs","detroit-tigers",0.891,"Chicago Cubs","chn","CHC","Cubs",112,61,63,0.492,"W 2",4.2,4.2,0,0.1,0.1,"63-61",-2,"8-12","17-26","13-12","23-13","34-27","27-36","7-3","19-25","52-48","9-15","32-36","29-27","6-4","12-8","16-14",53085,17968,12502,755,65489,2212,1595,1321,281,7821,70.16,69.31,1024,52,51.76,13.85,0,0,7.47,1.70833333333333,310.7,0.551666666666667,6.31916666666667,41.9472,2.045,3.55208333333333,4.12583333333333,0.436666666666667
6101139,2024-08-18,2024-08-18,"1:40 PM","Sun","cincinnati-reds","kansas-city-royals",0.909,"Cincinnati Reds","cin","CIN","Reds",113,60,63,0.488,"L 2",4.4,4.1,0.3,0,0.3,"65-58",-5,"14-11","18-17","15-17","13-18","31-33","29-30","3-3","10-21","44-42","16-21","23-36","37-27","5-5","10-10","16-14",15293,10019,3750,64,80178,957,779,510,40,6511,78.19,79.14,1011,73,68.83,9.62,100,1,4.86,2,275.612857142857,0.165714285714286,1.95571428571429,39.1072,1.27428571428571,2.19857142857143,2.31857142857143,0.181428571428571
