"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100066,"Regular Season","2024-04-24",2024-04-29,"6:40 PM","Mon","arizona-diamondbacks","los-angeles-dodgers",1260,128,44,574,6299
6100068,"Regular Season","2024-04-24",2024-04-30,"6:40 PM","Tue","arizona-diamondbacks","los-angeles-dodgers",424,109,38,1144,2247
6100229,"Regular Season","2024-04-24",2024-04-26,"7:20 PM","Fri","atlanta-braves","cleveland-guardians",729,418,25,115579,2116
6100230,"Regular Season","2024-04-24",2024-04-24,"7:20 PM","Wed","atlanta-braves","miami-marlins",524,60,13,1155,1533
6100232,"Regular Season","2024-04-24",2024-04-27,"7:20 PM","Sat","atlanta-braves","cleveland-guardians",648,133,33,1007,1948
6100234,"Regular Season","2024-04-24",2024-04-28,"1:35 PM","Sun","atlanta-braves","cleveland-guardians",522,121,27,763,1587
6100389,"Regular Season","2024-04-24",2024-04-26,"7:05 PM","Fri","baltimore-orioles","oakland-athletics",245,93,22,3955,912
6100393,"Regular Season","2024-04-24",2024-04-28,"1:35 PM","Sun","baltimore-orioles","oakland-athletics",203,121,26,3955,663
6100394,"Regular Season","2024-04-24",2024-04-27,"4:05 PM","Sat","baltimore-orioles","oakland-athletics",234,118,24,3955,958
6100397,"Regular Season","2024-04-24",2024-04-30,"6:35 PM","Tue","baltimore-orioles","new-york-yankees",340,115,26,4024,1382
6100400,"Regular Season","2024-04-24",2024-04-29,"6:35 PM","Mon","baltimore-orioles","new-york-yankees",277,126,22,4024,1029
6100545,"Regular Season","2024-04-24",2024-04-26,"7:10 PM","Fri","boston-red-sox","chicago-cubs",683,128,37,845,2013
6100547,"Regular Season","2024-04-24",2024-04-27,"4:10 PM","Sat","boston-red-sox","chicago-cubs",494,192,76,993,1313
6100556,"Regular Season","2024-04-24",2024-04-28,"7:10 PM","Sun","boston-red-sox","chicago-cubs",905,107,33,867,2745
6100580,"Regular Season","2024-04-24",2024-04-30,"7:10 PM","Tue","boston-red-sox","san-francisco-giants",965,74,22,650,3018
6100708,"Regular Season","2024-04-24",2024-04-24,"6:40 PM","Wed","chicago-cubs","houston-astros",1799,33,7,509,4662
6100711,"Regular Season","2024-04-24",2024-04-25,"1:20 PM","Thu","chicago-cubs","houston-astros",1706,108,6,115579,4465
6100868,"Regular Season","2024-04-24",2024-04-26,"6:40 PM","Fri","chicago-white-sox","tampa-bay-rays",609,51,9,565,2662
6100870,"Regular Season","2024-04-24",2024-04-27,"6:10 PM","Sat","chicago-white-sox","tampa-bay-rays",504,75,21,494,2332
6100871,"Regular Season","2024-04-24",2024-04-28,"1:10 PM","Sun","chicago-white-sox","tampa-bay-rays",550,61,11,480,2454
6100873,"Regular Season","2024-04-24",2024-04-29,"6:40 PM","Mon","chicago-white-sox","minnesota-twins",509,53,8,426,2434
6100876,"Regular Season","2024-04-24",2024-04-30,"6:40 PM","Tue","chicago-white-sox","minnesota-twins",531,55,10,552,2545
6100906,"Regular Season","2024-04-24",2024-05-01,"1:10 PM","Wed","chicago-white-sox","minnesota-twins",729,65,8,426,4363
