"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100050,"Regular Season","2024-04-06",2024-04-12,"6:40 PM","Fri","arizona-diamondbacks","st-louis-cardinals",243,88,37,706,1139
6100207,"Regular Season","2024-04-06",2024-04-07,"1:35 PM","Sun","atlanta-braves","arizona-diamondbacks",346,129,34,11504,871
6100209,"Regular Season","2024-04-06",2024-04-08,"7:20 PM","Mon","atlanta-braves","new-york-mets",640,97,14,1185,1908
6100211,"Regular Season","2024-04-06",2024-04-06,"7:20 PM","Sat","atlanta-braves","arizona-diamondbacks",565,130,39,717,1608
6100212,"Regular Season","2024-04-06",2024-04-09,"7:20 PM","Tue","atlanta-braves","new-york-mets",1058,78,12,1185,3455
6100213,"Regular Season","2024-04-06",2024-04-10,"7:20 PM","Wed","atlanta-braves","new-york-mets",970,81,13,1205,3185
6100214,"Regular Season","2024-04-06",2024-04-11,"12:20 PM","Thu","atlanta-braves","new-york-mets",839,85,12,1428,2708
6100377,"Regular Season","2024-04-06",2024-04-12,"7:05 PM","Fri","baltimore-orioles","milwaukee-brewers",533,89,23,4127,2748
6100380,"Regular Season","2024-04-06",2024-04-13,"4:05 PM","Sat","baltimore-orioles","milwaukee-brewers",575,110,27,6077,2830
6100526,"Regular Season","2024-04-06",2024-04-10,"7:10 PM","Wed","boston-red-sox","baltimore-orioles",1102,74,17,605,3440
6100528,"Regular Season","2024-04-06",2024-04-11,"7:10 PM","Thu","boston-red-sox","baltimore-orioles",1234,69,13,665,4007
6100530,"Regular Season","2024-04-06",2024-04-09,"2:10 PM","Tue","boston-red-sox","baltimore-orioles",876,210,74,5905,2947
6100550,"Regular Season","2024-04-06",2024-04-12,"7:10 PM","Fri","boston-red-sox","los-angeles-angels",1253,99,24,1127,4224
6100699,"Regular Season","2024-04-06",2024-04-06,"3:05 PM","Sat","chicago-cubs","los-angeles-dodgers",165,203,57,1155,421
6100706,"Regular Season","2024-04-06",2024-04-07,"1:20 PM","Sun","chicago-cubs","los-angeles-dodgers",1057,92,21,810,2882
6100856,"Regular Season","2024-04-06",2024-04-12,"6:40 PM","Fri","chicago-white-sox","cincinnati-reds",565,60,11,413,2505
6100892,"Regular Season","2024-04-06",2024-04-13,"1:10 PM","Sat","chicago-white-sox","cincinnati-reds",549,82,23,455,2511
6101017,"Regular Season","2024-04-06",2024-04-06,"4:10 PM","Sat","cincinnati-reds","new-york-mets",168,61,21,270,449
6101022,"Regular Season","2024-04-06",2024-04-07,"1:40 PM","Sun","cincinnati-reds","new-york-mets",208,63,15,464,659
6101023,"Regular Season","2024-04-06",2024-04-09,"6:40 PM","Tue","cincinnati-reds","milwaukee-brewers",349,88,19,5905,1388
6101025,"Regular Season","2024-04-06",2024-04-10,"6:40 PM","Wed","cincinnati-reds","milwaukee-brewers",362,70,17,6005,1542
6101026,"Regular Season","2024-04-06",2024-04-08,"6:40 PM","Mon","cincinnati-reds","milwaukee-brewers",344,72,14,5905,1462
6101030,"Regular Season","2024-04-06",2024-04-11,"1:10 PM","Thu","cincinnati-reds","milwaukee-brewers",435,56,14,407,2000
6101173,"Regular Season","2024-04-06",2024-04-12,"7:10 PM","Fri","cleveland-guardians","new-york-yankees",575,96,38,356,2803
6101177,"Regular Season","2024-04-06",2024-04-08,"5:10 PM","Mon","cleveland-guardians","chicago-white-sox",505,151,65,580,1769
6101178,"Regular Season","2024-04-06",2024-04-10,"6:10 PM","Wed","cleveland-guardians","chicago-white-sox",420,83,25,215,1968
6101199,"Regular Season","2024-04-06",2024-04-09,"6:10 PM","Tue","cleveland-guardians","chicago-white-sox",557,79,27,205,2937
6101338,"Regular Season","2024-04-06",2024-04-06,"6:10 PM","Sat","colorado-rockies","tampa-bay-rays",354,56,28,206,1254
