"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100368,"Regular Season","2024-03-20",2024-03-28,"3:05 PM","Thu","baltimore-orioles","los-angeles-angels",348,437,120,5855,951
6101581,"Regular Season","2024-03-20",2024-03-28,"3:10 PM","Thu","houston-astros","new-york-yankees",695,460,103,3545,2825
6102710,"Regular Season","2024-03-20",2024-03-28,"1:10 PM","Thu","new-york-mets","milwaukee-brewers",603,244,57,2457,2630
6103110,"Regular Season","2024-03-20",2024-03-28,"3:05 PM","Thu","philadelphia-phillies","atlanta-braves",455,417,152,12055,1456
6208309,"Spring Training","2024-03-20",2024-03-20,"1:10 PM","Wed","arizona-diamondbacks","colorado-rockies",34,80,48,145,147
6208313,"Spring Training","2024-03-20",2024-03-22,"1:10 PM","Fri","arizona-diamondbacks","seattle-mariners",157,99,52,295,541
6208315,"Spring Training","2024-03-20",2024-03-25,"6:40 PM","Mon","arizona-diamondbacks","cleveland-guardians",618,72,15,302,2940
6208317,"Spring Training","2024-03-20",2024-03-23,"1:10 PM","Sat","arizona-diamondbacks","cleveland-guardians",305,83,49,183,1460
6208319,"Spring Training","2024-03-20",2024-03-26,"12:40 PM","Tue","arizona-diamondbacks","cleveland-guardians",502,62,10,302,2603
6208346,"Spring Training","2024-03-20",2024-03-20,"1:05 PM","Wed","atlanta-braves","toronto-blue-jays",30,73,16,92,169
6208347,"Spring Training","2024-03-20",2024-03-21,"1:05 PM","Thu","atlanta-braves","new-york-yankees",89,106,41,235,274
6208349,"Spring Training","2024-03-20",2024-03-23,"1:05 PM","Sat","atlanta-braves","tampa-bay-rays",187,79,29,180,757
6208351,"Spring Training","2024-03-20",2024-03-25,"1:05 PM","Mon","atlanta-braves","minnesota-twins",200,75,28,241,922
6208379,"Spring Training","2024-03-20",2024-03-20,"6:05 PM","Wed","baltimore-orioles","philadelphia-phillies",36,109,40,268,130
6208380,"Spring Training","2024-03-20",2024-03-22,"6:05 PM","Fri","baltimore-orioles","pittsburgh-pirates",58,68,30,175,211
6208382,"Spring Training","2024-03-20",2024-03-23,"6:05 PM","Sat","baltimore-orioles","toronto-blue-jays",92,81,25,188,407
6208408,"Spring Training","2024-03-20",2024-03-21,"6:05 PM","Thu","boston-red-sox","baltimore-orioles",133,57,19,162,452
6208410,"Spring Training","2024-03-20",2024-03-23,"6:05 PM","Sat","boston-red-sox","minnesota-twins",310,52,16,225,1191
6208414,"Spring Training","2024-03-20",2024-03-24,"1:05 PM","Sun","boston-red-sox","atlanta-braves",149,69,25,235,471
6208442,"Spring Training","2024-03-20",2024-03-22,"1:05 PM","Fri","chicago-cubs","san-francisco-giants",338,76,25,532,1285
6208443,"Spring Training","2024-03-20",2024-03-23,"1:05 PM","Sat","chicago-cubs","milwaukee-brewers",171,93,37,197,555
6208447,"Spring Training","2024-03-20",2024-03-25,"1:05 PM","Mon","chicago-cubs","st-louis-cardinals",152,106,41,409,589
6208449,"Spring Training","2024-03-20",2024-03-26,"12:05 PM","Tue","chicago-cubs","st-louis-cardinals",243,102,38,542,908
6208475,"Spring Training","2024-03-20",2024-03-20,"1:05 PM","Wed","chicago-white-sox","cincinnati-reds",48,45,6,111,230
6208477,"Spring Training","2024-03-20",2024-03-22,"1:05 PM","Fri","chicago-white-sox","oakland-athletics",104,50,9,164,628
6208480,"Spring Training","2024-03-20",2024-03-23,"1:05 PM","Sat","chicago-white-sox","seattle-mariners",88,93,23,401,397
6208505,"Spring Training","2024-03-20",2024-03-20,"1:05 PM","Wed","cincinnati-reds","texas-rangers",37,36,21,71,161
