"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100191,2024-09-21,2024-09-23,"6:40 PM","Mon","arizona-diamondbacks","san-francisco-giants",0.817,"Arizona Diamondbacks","ari","AZ","D-backs",109,86,68,0.558,"W 3",5.5,4.9,0.6,0,0.6,"86-68",0,"18-15","18-11","26-20","24-22","42-33","44-35","5-8","26-19","59-39","27-29","40-45","46-23","6-4","10-10","17-13",9071,5974,611,368,59913,1104,738,292,199,8347,94.39,90.03,1008,15,40.21,4.88,0,0,6.87,2.16666666666667,333.924583333333,2.8225,23.1704166666667,33.4529,2.79541666666667,8.79791666666667,16.885,3.2275
6100193,2024-09-21,2024-09-24,"6:40 PM","Tue","arizona-diamondbacks","san-francisco-giants",0.818,"Arizona Diamondbacks","ari","AZ","D-backs",109,86,68,0.558,"W 3",5.5,4.9,0.6,0,0.6,"86-68",0,"18-15","18-11","26-20","24-22","42-33","44-35","5-8","26-19","59-39","27-29","40-45","46-23","6-4","10-10","17-13",9071,5974,611,368,59913,1104,738,292,199,8347,94.39,89.83,1008,13,36.23,5.86,1,0,6.82,2.75,381.419583333333,2.90958333333333,28.7220833333333,33.4529,3.48166666666667,13.85875,27.5566666666667,2.88958333333333
6100196,2024-09-21,2024-09-25,"6:40 PM","Wed","arizona-diamondbacks","san-francisco-giants",0.813,"Arizona Diamondbacks","ari","AZ","D-backs",109,86,68,0.558,"W 3",5.5,4.9,0.6,0,0.6,"86-68",0,"18-15","18-11","26-20","24-22","42-33","44-35","5-8","26-19","59-39","27-29","40-45","46-23","6-4","10-10","17-13",9071,5974,611,368,59913,1104,738,292,199,8347,95.95,91.11,1008,11,33.26,5.57,0,0,7,2.29411764705882,471.425294117647,1.85235294117647,49.8764705882353,33.4529,3.53117647058824,14.1676470588235,29.1111764705882,5.32529411764706
6100357,2024-09-21,2024-09-24,"7:20 PM","Tue","atlanta-braves","new-york-mets",0.85,"Atlanta Braves","atl","ATL","Braves",144,83,71,0.539,"L 1",4.4,3.8,0.5,0,0.5,"86-68",-3,"24-23","13-17","17-17","29-14","42-33","41-38","12-5","16-24","55-54","28-17","45-38","38-33","5-5","10-10","17-13",33230,17179,9470,735,88296,2054,1543,993,217,4823,90.79,90.82,1014,37,61.07,8.48,33,0.63,7.22,2.33333333333333,344.07875,1.19583333333333,16.6954166666667,33.7469,2.08041666666667,14.9125,16.9516666666667,1.12
6100358,2024-09-21,2024-09-25,"7:20 PM","Wed","atlanta-braves","new-york-mets",0.841,"Atlanta Braves","atl","ATL","Braves",144,83,71,0.539,"L 1",4.4,3.8,0.5,0,0.5,"86-68",-3,"24-23","13-17","17-17","29-14","42-33","41-38","12-5","16-24","55-54","28-17","45-38","38-33","5-5","10-10","17-13",33230,17179,9470,735,88296,2054,1543,993,217,4823,92.14,90.81,1013,31,57.56,8.7,87,1,8,1.58823529411765,289.02,0.448235294117647,11.9364705882353,33.7469,2.82823529411765,9.36882352941176,11.8170588235294,1.59235294117647
6100520,2024-09-21,2024-09-22,"1:35 PM","Sun","baltimore-orioles","detroit-tigers",0.872,"Baltimore Orioles","bal","BAL","Orioles",110,86,68,0.558,"W 2",4.8,4.3,0.5,-0.1,0.4,"85-69",1,"30-19","18-9","18-14","20-26","44-35","42-33","5-5","14-17","63-49","23-19","34-36","52-32","4-6","9-11","14-16",17773,5834,9509,18,40932,1421,727,1010,22,8701,68.02,68.09,1015,76,59.65,9.93,100,0.96,3.57,1.58333333333333,282.60625,0.195833333333333,13.37375,39.2852,2.99375,6.59083333333333,7.75958333333333,0.440833333333333
6100524,2024-09-21,2024-09-21,"4:05 PM","Sat","baltimore-orioles","detroit-tigers",0.896,"Baltimore Orioles","bal","BAL","Orioles",110,86,68,0.558,"W 2",4.8,4.3,0.5,-0.1,0.4,"85-69",1,"30-19","18-9","18-14","20-26","44-35","42-33","5-5","14-17","63-49","23-19","34-36","52-32","4-6","9-11","14-16",17773,5834,9509,18,40932,1421,727,1010,22,8701,78.73,78.73,1014,66,66.42,8.57,62,0.96,3.8,2.85714285714286,270.844285714286,0.352857142857143,9.38142857142857,39.2852,4.44571428571429,8.01285714285714,9.52428571428571,0.48
6100676,2024-09-21,2024-09-22,"1:35 PM","Sun","boston-red-sox","minnesota-twins",0.866,"Boston Red Sox","bos","BOS","Red Sox",111,76,78,0.494,"L 2",4.7,4.7,0,0,0,"77-77",-1,"22-24","14-17","19-12","21-25","35-41","41-37","9-10","17-12","59-52","17-26","35-56","41-22","3-7","7-13","11-19",25856,16548,1620,647,58466,1230,1051,409,260,9404,62.17,61.66,1017,76,54.09,13.89,97,0.8,3.11,1.5,266.335,0.310416666666667,6.86,42.3466,1.74208333333333,1.83291666666667,2.91,0.216666666666667
6100694,2024-09-21,2024-09-21,"4:10 PM","Sat","boston-red-sox","minnesota-twins",0.886,"Boston Red Sox","bos","BOS","Red Sox",111,76,78,0.494,"L 2",4.7,4.7,0,0,0,"77-77",-1,"22-24","14-17","19-12","21-25","35-41","41-37","9-10","17-12","59-52","17-26","35-56","41-22","3-7","7-13","11-19",25856,16548,1620,647,58466,1230,1051,409,260,9404,57.81,57.61,1016,92,55.51,13,100,1,1.16,1.85714285714286,251.768571428571,0.704285714285714,5.69285714285714,42.3466,1.60142857142857,1.62428571428571,2.61,0.245714285714286
6100839,2024-09-21,2024-09-22,"1:20 PM","Sun","chicago-cubs","washington-nationals",0.869,"Chicago Cubs","chn","CHC","Cubs",112,79,75,0.513,"W 2",4.6,4.2,0.4,0,0.4,"84-70",-5,"15-13","21-28","16-15","27-19","41-35","38-40","7-4","22-28","66-57","13-18","41-43","38-32","5-5","11-9","18-12",53085,17968,12502,755,65489,2212,1595,1321,281,7821,68.94,69.91,1011,93,66.74,16.06,100,1,0.52,1.66666666666667,375.092083333333,1.32916666666667,30.3320833333333,41.9472,4.11458333333333,11.2929166666667,13.2704166666667,1.02791666666667
