"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
17017658,2025-07-03,2025-07-07,"6:40 PM","Mon","chicago-white-sox","toronto-blue-jays",0.8279790101,"Chicago White Sox","cha","CWS","White Sox",145,28,58,0.326,"L 2",3.4,4.4,-1,0,-1,"33-53",-5,"5-8","6-17","8-16","9-17","19-24","9-34","2-4","5-21","21-45","7-13","15-27","13-31","4-6","6-14","10-20",53085,17968,12502,755,65489,2212,1595,1321,281,7821,85.68,87.69,1015,51,64.47,6.62,26,0.08,0.56,1,156.065882352941,0.471764705882353,6.50529411764706,41.8309,1.47,3.20117647058824,3.46058823529412,0.422352941176471
17017777,2025-07-03,2025-07-03,"1:10 PM","Thu","colorado-rockies","houston-astros",0.9165765571,"Colorado Rockies","col","COL","Rockies",115,19,67,0.221,"L 2",3.5,6.1,-2.6,0.2,-2.4,"23-63",-4,"9-20","2-10","5-20","3-17","8-34","11-33","1-5","8-14","17-44","2-23","9-52","10-15","2-8","7-13","10-20",33805,20800,5116,3969,79436,1381,1386,783,919,11916,84.92,82.47,1005,27,47.25,15.93,71,0,11.23,2,67.7614285714286,0.0414285714285714,0.235714285714286,39.757,0.124285714285714,1.19285714285714,1.61142857142857,0.731428571428571
17017778,2025-07-03,2025-07-04,"6:10 PM","Fri","colorado-rockies","chicago-white-sox",0.9726340447,"Colorado Rockies","col","COL","Rockies",115,19,67,0.221,"L 2",3.5,6.1,-2.6,0.2,-2.4,"23-63",-4,"9-20","2-10","5-20","3-17","8-34","11-33","1-5","8-14","17-44","2-23","9-52","10-15","2-8","7-13","10-20",33805,20800,5116,3969,79436,1381,1386,783,919,11916,89.65,85.78,1007,17,38.71,9.57,60,0.2,10.9,1.58333333333333,80.4183333333333,0.0725,1.24958333333333,39.757,0.065,1.66708333333333,2.07083333333333,1.175
17017779,2025-07-03,2025-07-05,"7:10 PM","Sat","colorado-rockies","chicago-white-sox",0.9356403877,"Colorado Rockies","col","COL","Rockies",115,19,67,0.221,"L 2",3.5,6.1,-2.6,0.2,-2.4,"23-63",-4,"9-20","2-10","5-20","3-17","8-34","11-33","1-5","8-14","17-44","2-23","9-52","10-15","2-8","7-13","10-20",33805,20800,5116,3969,79436,1381,1386,783,919,11916,92.28,87.91,1012,13,33.62,10.89,0,0.25,11.3,1.58333333333333,80.6841666666667,0.11,1.51625,39.757,0.0541666666666667,3.1875,8.96916666666667,1.75458333333333
17017780,2025-07-03,2025-07-06,"1:10 PM","Sun","colorado-rockies","chicago-white-sox",0.8671406656,"Colorado Rockies","col","COL","Rockies",115,19,67,0.221,"L 2",3.5,6.1,-2.6,0.2,-2.4,"23-63",-4,"9-20","2-10","5-20","3-17","8-34","11-33","1-5","8-14","17-44","2-23","9-52","10-15","2-8","7-13","10-20",33805,20800,5116,3969,79436,1381,1386,783,919,11916,88.97,85.08,1013,15,35.76,17.58,1,0,11.34,1.625,74.4466666666667,0.07875,1.26875,39.757,0.100416666666667,3.92375,11.9204166666667,2.46708333333333
17017904,2025-07-03,2025-07-07,"6:40 PM","Mon","kansas-city-royals","pittsburgh-pirates",0.863362786,"Kansas City Royals","kca","KC","Royals",118,40,47,0.46,"L 1",3.3,3.7,-0.4,0,-0.4,"39-48",1,"8-13","13-14","7-8","12-12","20-24","20-23","4-3","13-14","32-40","8-7","18-31","22-16","2-8","6-14","10-20",8768,3850,4272,33,40829,1089,700,948,32,6164,87.31,92.88,1014,58,70.66,9.64,90,1,0.25,1,142.871764705882,0.562352941176471,4.09352941176471,39.1022,0.264705882352941,4.48411764705882,4.66764705882353,2.10882352941176
17018226,2025-07-03,2025-07-03,"7:10 PM","Thu","new-york-mets","milwaukee-brewers",0.9625326631,"New York Mets","nyn","NYM","Mets",121,49,38,0.563,"W 1",4.3,3.9,0.4,-0.1,0.4,"48-39",1,"15-11","10-8","13-6","11-13","30-13","19-25","4-4","15-12","39-28","10-10","24-19","25-19","3-7","6-14","14-16",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426,88.29,89.15,1010,43,62.96,14.97,62,0.23,9.09,2.71428571428571,148.298571428571,0.284285714285714,2.29428571428571,40.7554,1.83857142857143,7.44857142857143,7.89428571428571,0.297142857142857
17018227,2025-07-03,2025-07-04,"3:10 PM","Fri","new-york-mets","new-york-yankees",0.9773972603,"New York Mets","nyn","NYM","Mets",121,49,38,0.563,"W 1",4.3,3.9,0.4,-0.1,0.4,"48-39",1,"15-11","10-8","13-6","11-13","30-13","19-25","4-4","15-12","39-28","10-10","24-19","25-19","3-7","6-14","14-16",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426,83.61,81.5,1017,28,47.07,13.4,0,0,8.04,1.70833333333333,168.920833333333,0.447083333333333,6.20458333333333,40.7554,1.94291666666667,7.18375,7.6625,0.4025
17018230,2025-07-03,2025-07-05,"4:10 PM","Sat","new-york-mets","new-york-yankees",0.9643779738,"New York Mets","nyn","NYM","Mets",121,49,38,0.563,"W 1",4.3,3.9,0.4,-0.1,0.4,"48-39",1,"15-11","10-8","13-6","11-13","30-13","19-25","4-4","15-12","39-28","10-10","24-19","25-19","3-7","6-14","14-16",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426,82.27,80.67,1023,30,47.79,12.28,94,0,8.69,1.79166666666667,176.489166666667,0.63625,6.89166666666667,40.7554,1.19958333333333,7.65333333333333,8.32208333333333,0.265
17018232,2025-07-03,2025-07-06,"1:40 PM","Sun","new-york-mets","new-york-yankees",0.9500501067,"New York Mets","nyn","NYM","Mets",121,49,38,0.563,"W 1",4.3,3.9,0.4,-0.1,0.4,"48-39",1,"15-11","10-8","13-6","11-13","30-13","19-25","4-4","15-12","39-28","10-10","24-19","25-19","3-7","6-14","14-16",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426,84.61,83.28,1019,36,54.79,15.95,61,0,9.97,2.125,142.478333333333,0.15125,1.89333333333333,40.7554,0.823333333333333,7.025,9.0475,0.157916666666667
