"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
17017435,2025-04-28,2025-04-28,"6:35 PM","Mon","baltimore-orioles","new-york-yankees",0.9033010691,"Baltimore Orioles","bal","BAL","Orioles",110,10,17,0.37,"L 3",4,5.4,-1.4,-0.2,-1.6,"10-17",0,"4-5","3-6","0-0","3-6","5-6","5-11","0-1","2-4","8-10","2-7","5-10","5-7","3-7","7-13","10-17",17773,5834,9509,18,40932,1421,727,1010,22,8701,72.86,71.06,1027,26,36.01,9.42,20,0,7.56,2.85714285714286,145.245714285714,0.271428571428571,1.82428571428571,39.2852,1.61857142857143,3.96142857142857,5.16714285714286,0.815714285714286
17017436,2025-04-28,2025-04-29,"6:35 PM","Tue","baltimore-orioles","new-york-yankees",0.8764011934,"Baltimore Orioles","bal","BAL","Orioles",110,10,17,0.37,"L 3",4,5.4,-1.4,-0.2,-1.6,"10-17",0,"4-5","3-6","0-0","3-6","5-6","5-11","0-1","2-4","8-10","2-7","5-10","5-7","3-7","7-13","10-17",17773,5834,9509,18,40932,1421,727,1010,22,8701,78.03,77.18,1020,35,48.49,12.91,58,0,7.85,2.29166666666667,146.759583333333,0.172083333333333,3.0675,39.2852,1.49583333333333,3.54208333333333,5.5025,1.43208333333333
17017437,2025-04-28,2025-04-30,"6:35 PM","Wed","baltimore-orioles","new-york-yankees",0.8587655131,"Baltimore Orioles","bal","BAL","Orioles",110,10,17,0.37,"L 3",4,5.4,-1.4,-0.2,-1.6,"10-17",0,"4-5","3-6","0-0","3-6","5-6","5-11","0-1","2-4","8-10","2-7","5-10","5-7","3-7","7-13","10-17",17773,5834,9509,18,40932,1421,727,1010,22,8701,70,70.65,1017,84,64.53,11.83,97,1,8,1.95833333333333,144.07,0.172916666666667,3.09458333333333,39.2852,1.26541666666667,3.54958333333333,5.61208333333333,1.50791666666667
17017439,2025-04-28,2025-05-02,"7:05 PM","Fri","baltimore-orioles","kansas-city-royals",0.8388007497,"Baltimore Orioles","bal","BAL","Orioles",110,10,17,0.37,"L 3",4,5.4,-1.4,-0.2,-1.6,"10-17",0,"4-5","3-6","0-0","3-6","5-6","5-11","0-1","2-4","8-10","2-7","5-10","5-7","3-7","7-13","10-17",17773,5834,9509,18,40932,1421,727,1010,22,8701,78.08,77.99,1008,51,58.6,10.89,97,1,0.16,1.70588235294118,142.280588235294,0.0629411764705882,3.56,39.2852,1.26588235294118,6.36058823529412,9.44470588235294,0.676470588235294
17017597,2025-04-28,2025-04-29,"6:40 PM","Tue","chicago-white-sox","milwaukee-brewers",0.8332724361,"Chicago White Sox","cha","CWS","White Sox",145,7,21,0.25,"L 1",3.4,4.3,-0.9,-0.4,-1.3,"11-17",-4,"3-4","2-10","2-7","0-0","4-8","3-13","0-2","1-8","4-16","3-5","4-15","3-6","3-7","5-15","7-21",53085,17968,12502,755,65489,2212,1595,1321,281,7821,67.84,67.33,1013,64,55.18,18.16,86,0.75,7.22,1.875,128.350416666667,0.0833333333333333,1.40583333333333,41.8309,1.18083333333333,2.87416666666667,3.55833333333333,2.80125
17017598,2025-04-28,2025-04-30,"6:40 PM","Wed","chicago-white-sox","milwaukee-brewers",0.8054920135,"Chicago White Sox","cha","CWS","White Sox",145,7,21,0.25,"L 1",3.4,4.3,-0.9,-0.4,-1.3,"11-17",-4,"3-4","2-10","2-7","0-0","4-8","3-13","0-2","1-8","4-16","3-5","4-15","3-6","3-7","5-15","7-21",53085,17968,12502,755,65489,2212,1595,1321,281,7821,46.53,42.84,1020,72,37.87,10.85,100,1,6.58,1.66666666666667,166.765,0.149583333333333,4.64458333333333,41.8309,0.7,3.33291666666667,3.87083333333333,3.5
17017599,2025-04-28,2025-05-01,"1:10 PM","Thu","chicago-white-sox","milwaukee-brewers",0.7854919801,"Chicago White Sox","cha","CWS","White Sox",145,7,21,0.25,"L 1",3.4,4.3,-0.9,-0.4,-1.3,"11-17",-4,"3-4","2-10","2-7","0-0","4-8","3-13","0-2","1-8","4-16","3-5","4-15","3-6","3-7","5-15","7-21",53085,17968,12502,755,65489,2212,1595,1321,281,7821,56.35,56.25,1006,97,55.44,7.49,100,1,4.75,1.29166666666667,140.992916666667,0.07625,3.05,41.8309,0.554166666666667,2.59541666666667,2.68708333333333,2.10875
17017603,2025-04-28,2025-05-02,"6:40 PM","Fri","chicago-white-sox","houston-astros",0.8073664689,"Chicago White Sox","cha","CWS","White Sox",145,7,21,0.25,"L 1",3.4,4.3,-0.9,-0.4,-1.3,"11-17",-4,"3-4","2-10","2-7","0-0","4-8","3-13","0-2","1-8","4-16","3-5","4-15","3-6","3-7","5-15","7-21",53085,17968,12502,755,65489,2212,1595,1321,281,7821,43.12,37.38,1016,75,35.91,10.33,93,0.2,0.27,1.52941176470588,163.546470588235,0.0752941176470588,3.46352941176471,41.8309,0.784705882352941,2.00647058823529,2.10117647058824,1.72352941176471
17017747,2025-04-28,2025-04-28,"6:40 PM","Mon","colorado-rockies","atlanta-braves",0.85374966,"Colorado Rockies","col","COL","Rockies",115,4,23,0.148,"L 6",3.3,5.9,-2.6,0.2,-2.3,"7-20",-3,"1-5","1-5","0-6","2-7","3-9","1-14","0-2","1-6","4-14","0-9","2-16","2-7","1-9","3-17","4-23",33805,20800,5116,3969,79436,1381,1386,783,919,11916,59.27,56.12,1008,26,25.3,18.63,45,1,7,3,96.7714285714286,0.0328571428571429,0.104285714285714,39.757,0.0442857142857143,0.5,0.802857142857143,0.707142857142857
17017748,2025-04-28,2025-04-29,"6:40 PM","Tue","colorado-rockies","atlanta-braves",0.8297878716,"Colorado Rockies","col","COL","Rockies",115,4,23,0.148,"L 6",3.3,5.9,-2.6,0.2,-2.3,"7-20",-3,"1-5","1-5","0-6","2-7","3-9","1-14","0-2","1-6","4-14","0-9","2-16","2-7","1-9","3-17","4-23",33805,20800,5116,3969,79436,1381,1386,783,919,11916,60.89,58.05,1012,29,28.74,16.11,16,1,7.87,2.125,109.619583333333,0.04625,1.36666666666667,39.757,0.125,0.791666666666667,1.37625,2.775
