"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100162,2024-08-12,2024-08-12,"6:40 PM","Mon","arizona-diamondbacks","colorado-rockies",0.884,"Arizona Diamondbacks","ari","AZ","D-backs",109,66,53,0.555,"W 3",5.2,4.7,0.6,0,0.6,"66-53",0,"14-13","15-9","19-14","18-17","34-26","32-27","4-7","22-12","45-31","21-22","34-34","32-19","8-2","15-5","22-8",9071,5974,611,368,59913,1104,738,292,199,8347,96.96,98.78,1012,33,63.1,13.4,26,0.74,10.13,2,210.762857142857,0.321428571428571,2.24,33.4529,0.847142857142857,5.18428571428571,10.6528571428571,0.617142857142857
6100163,2024-08-12,2024-08-13,"6:40 PM","Tue","arizona-diamondbacks","colorado-rockies",0.851,"Arizona Diamondbacks","ari","AZ","D-backs",109,66,53,0.555,"W 3",5.2,4.7,0.6,0,0.6,"66-53",0,"14-13","15-9","19-14","18-17","34-26","32-27","4-7","22-12","45-31","21-22","34-34","32-19","8-2","15-5","22-8",9071,5974,611,368,59913,1104,738,292,199,8347,96.62,97.74,1010,32,61.7,16.64,0,0.33,10.08,1.95833333333333,325.025,1.14291666666667,21.1229166666667,33.4529,4.32791666666667,8.61,14.6216666666667,1.64583333333333
6100165,2024-08-12,2024-08-14,"12:40 PM","Wed","arizona-diamondbacks","colorado-rockies",0.842,"Arizona Diamondbacks","ari","AZ","D-backs",109,66,53,0.555,"W 3",5.2,4.7,0.6,0,0.6,"66-53",0,"14-13","15-9","19-14","18-17","34-26","32-27","4-7","22-12","45-31","21-22","34-34","32-19","8-2","15-5","22-8",9071,5974,611,368,59913,1104,738,292,199,8347,100.65,99.63,1011,23,56.41,11.25,0,0,10.93,1.75,232.815833333333,0.425416666666667,8.1275,33.4529,1.3475,7.54875,17.6525,1.04416666666667
6100480,2024-08-12,2024-08-14,"6:35 PM","Wed","baltimore-orioles","washington-nationals",0.875,"Baltimore Orioles","bal","BAL","Orioles",110,70,49,0.588,"L 1",5.1,4.3,0.8,0,0.8,"69-50",1,"26-13","14-6","16-12","14-18","34-25","36-24","5-4","12-14","53-35","17-14","41-28","29-21","5-5","10-10","14-16",17773,5834,9509,18,40932,1421,727,1010,22,8701,83.89,82.62,1017,36,53.76,9.82,1,0,7.53,1.41666666666667,235.111666666667,0.33125,6.1275,39.2852,0.648333333333333,2.48125,3.61791666666667,0.415
6100482,2024-08-12,2024-08-13,"6:35 PM","Tue","baltimore-orioles","washington-nationals",0.897,"Baltimore Orioles","bal","BAL","Orioles",110,70,49,0.588,"L 1",5.1,4.3,0.8,0,0.8,"69-50",1,"26-13","14-6","16-12","14-18","34-25","36-24","5-4","12-14","53-35","17-14","41-28","29-21","5-5","10-10","14-16",17773,5834,9509,18,40932,1421,727,1010,22,8701,81.61,80.82,1017,37,52.84,8.95,11,0,7.14,1.33333333333333,234.55375,0.51875,6.65625,39.2852,0.979166666666667,3.43625,4.60458333333333,0.594166666666667
6100486,2024-08-12,2024-08-15,"6:35 PM","Thu","baltimore-orioles","boston-red-sox",0.874,"Baltimore Orioles","bal","BAL","Orioles",110,70,49,0.588,"L 1",5.1,4.3,0.8,0,0.8,"69-50",1,"26-13","14-6","16-12","14-18","34-25","36-24","5-4","12-14","53-35","17-14","41-28","29-21","5-5","10-10","14-16",17773,5834,9509,18,40932,1421,727,1010,22,8701,86.85,84.7,1017,31,52.32,7.07,5,0,7.23,1.83333333333333,292.75875,0.526666666666667,9.57333333333333,39.2852,1.47166666666667,6.6575,8.445,0.606666666666667
6100488,2024-08-12,2024-08-16,"7:05 PM","Fri","baltimore-orioles","boston-red-sox",0.883,"Baltimore Orioles","bal","BAL","Orioles",110,70,49,0.588,"L 1",5.1,4.3,0.8,0,0.8,"69-50",1,"26-13","14-6","16-12","14-18","34-25","36-24","5-4","12-14","53-35","17-14","41-28","29-21","5-5","10-10","14-16",17773,5834,9509,18,40932,1421,727,1010,22,8701,85.1,85.01,1015,43,59.92,12.12,99,0.5,0.66,2.05882352941176,-286.982352941176,-588.032352941176,15.6952941176471,39.2852,3.17235294117647,13.8776470588235,15.5158823529412,0.484705882352941
6100641,2024-08-12,2024-08-13,"7:10 PM","Tue","boston-red-sox","texas-rangers",0.924,"Boston Red Sox","bos","BOS","Red Sox",111,61,55,0.526,"L 4",4.9,4.8,0.2,0,0.2,"60-56",1,"14-13","11-13","15-10","21-19","27-31","34-24","6-7","14-8","47-34","14-21","29-41","32-14","5-5","8-12","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,79.52,79.52,1013,38,51.55,7.87,0,0,6.87,1.375,221.89875,0.775,7.2975,42.3466,0.9475,1.03625,1.54208333333333,0.3825
6100643,2024-08-12,2024-08-12,"7:10 PM","Mon","boston-red-sox","texas-rangers",0.934,"Boston Red Sox","bos","BOS","Red Sox",111,61,55,0.526,"L 4",4.9,4.8,0.2,0,0.2,"60-56",1,"14-13","11-13","15-10","21-19","27-31","34-24","6-7","14-8","47-34","14-21","29-41","32-14","5-5","8-12","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,76.95,76.69,1012,50,56.91,9.73,33,0,6.71,2,222.205714285714,0.331428571428571,3.26285714285714,42.3466,0.61,0.845714285714286,1.10571428571429,0.251428571428571
6100649,2024-08-12,2024-08-14,"6:10 PM","Wed","boston-red-sox","texas-rangers",0.913,"Boston Red Sox","bos","BOS","Red Sox",111,61,55,0.526,"L 4",4.9,4.8,0.2,0,0.2,"60-56",1,"14-13","11-13","15-10","21-19","27-31","34-24","6-7","14-8","47-34","14-21","29-41","32-14","5-5","8-12","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,81.97,81,1015,36,51.98,9.4,2,0,6.46,2,354.509166666667,3.15458333333333,21.4254166666667,42.3466,2.10375,11.2045833333333,12.8283333333333,1.00166666666667
6100804,2024-08-12,2024-08-16,"1:20 PM","Fri","chicago-cubs","toronto-blue-jays",0.918,"Chicago Cubs","chn","CHC","Cubs",112,59,60,0.496,"W 4",4.2,4.1,0.1,0.1,0.2,"61-58",-2,"8-12","17-26","13-12","21-10","32-27","27-33","6-3","17-23","50-46","9-14","41-44","18-16","8-2","12-8","18-12",53085,17968,12502,755,65489,2212,1595,1321,281,7821,72.68,73.69,1005,86,68.18,14.18,98,1,0.03,1.35294117647059,351.653529411765,0.430588235294118,22.2070588235294,41.9472,3.54470588235294,7.50470588235294,8.43882352941177,0.530588235294118
6100962,2024-08-12,2024-08-12,"7:10 PM","Mon","chicago-white-sox","new-york-yankees",0.902,"Chicago White Sox","cha","CWS","White Sox",145,28,91,0.235,"L 3",3.1,5.2,-2.1,0.1,-2,"33-86",-5,"7-16","8-34","3-14","10-27","17-42","11-49","3-8","8-25","21-75","7-16","20-61","8-30","1-9","1-19","3-27",53085,17968,12502,755,65489,2212,1595,1321,281,7821,76.75,76.28,1019,46,54.43,5.03,59,0.2,3.55,3.85714285714286,318.528571428571,1.45714285714286,18.79,41.8309,7.37285714285714,15.9185714285714,17.6414285714286,1.45857142857143
6100964,2024-08-12,2024-08-14,"7:10 PM","Wed","chicago-white-sox","new-york-yankees",0.871,"Chicago White Sox","cha","CWS","White Sox",145,28,91,0.235,"L 3",3.1,5.2,-2.1,0.1,-2,"33-86",-5,"7-16","8-34","3-14","10-27","17-42","11-49","3-8","8-25","21-75","7-16","20-61","8-30","1-9","1-19","3-27",53085,17968,12502,755,65489,2212,1595,1321,281,7821,82.81,82.29,1019,41,56.39,8.32,14,0,7.07,2.66666666666667,412.9225,6.68333333333333,37.2641666666667,41.8309,8.11125,17.7904166666667,21.0570833333333,1.24958333333333
6100966,2024-08-12,2024-08-13,"7:10 PM","Tue","chicago-white-sox","new-york-yankees",0.878,"Chicago White Sox","cha","CWS","White Sox",145,28,91,0.235,"L 3",3.1,5.2,-2.1,0.1,-2,"33-86",-5,"7-16","8-34","3-14","10-27","17-42","11-49","3-8","8-25","21-75","7-16","20-61","8-30","1-9","1-19","3-27",53085,17968,12502,755,65489,2212,1595,1321,281,7821,80.64,80.65,1020,43,55.83,7.05,50,0,7.94,2.79166666666667,429.055,6.55958333333333,43.4729166666667,41.8309,5.90208333333333,13.7895833333333,16.4154166666667,1.83666666666667
6101129,2024-08-12,2024-08-12,"6:40 PM","Mon","cincinnati-reds","st-louis-cardinals",0.884,"Cincinnati Reds","cin","CIN","Reds",113,57,61,0.483,"W 1",4.4,4.1,0.3,0,0.3,"63-55",-6,"14-11","15-17","15-17","13-16","28-31","29-30","3-3","10-21","41-40","16-21","28-42","29-19","5-5","10-10","15-15",15293,10019,3750,64,80178,957,779,510,40,6511,79.2,79.2,1019,46,56.64,5.75,20,0,6.48,2.85714285714286,235.081428571429,0.412857142857143,4.51285714285714,39.1072,1.74142857142857,4.88142857142857,5.48857142857143,0.68
6101134,2024-08-12,2024-08-13,"6:40 PM","Tue","cincinnati-reds","st-louis-cardinals",0.872,"Cincinnati Reds","cin","CIN","Reds",113,57,61,0.483,"W 1",4.4,4.1,0.3,0,0.3,"63-55",-6,"14-11","15-17","15-17","13-16","28-31","29-30","3-3","10-21","41-40","16-21","28-42","29-19","5-5","10-10","15-15",15293,10019,3750,64,80178,957,779,510,40,6511,83.7,82.99,1019,40,56.28,5.55,72,0.78,8.29,1.70833333333333,319.46125,3.85833333333333,16.5958333333333,39.1072,1.57041666666667,7.26916666666667,8.35125,0.809583333333333
