"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
17017495,2025-07-04,2025-07-08,"6:35 PM","Tue","baltimore-orioles","new-york-mets",0.8841886064,"Baltimore Orioles","bal","BAL","Orioles",110,37,49,0.43,"L 2",4.2,5.2,-1,0,-1,"35-51",2,"13-13","8-16","11-7","5-13","19-22","18-27","2-3","10-9","28-33","9-16","22-21","15-28","4-6","10-10","17-13",17773,5834,9509,18,40932,1421,727,1010,22,8701,93.16,97.66,1015,44,67.01,7.05,34,1,0.76,1.41176470588235,129.724705882353,0.277647058823529,4.52294117647059,39.2852,1.18235294117647,6.35117647058824,6.96764705882353,0.480588235294118
17017658,2025-07-04,2025-07-07,"6:40 PM","Mon","chicago-white-sox","toronto-blue-jays",0.8224530365,"Chicago White Sox","cha","CWS","White Sox",145,28,59,0.322,"L 3",3.4,4.4,-1,0.1,-1,"33-54",-5,"5-8","6-17","8-16","9-18","19-24","9-35","2-4","5-21","21-46","7-13","15-28","13-31","4-6","5-15","10-20",53085,17968,12502,755,65489,2212,1595,1321,281,7821,81.23,82.92,1017,57,63.9,10.27,26,0,8.29,1.29166666666667,156.23375,0.484166666666667,4.93666666666667,41.8309,2.43458333333333,5.40916666666667,5.76833333333333,0.282083333333333
17017659,2025-07-04,2025-07-08,"6:40 PM","Tue","chicago-white-sox","toronto-blue-jays",0.8182634155,"Chicago White Sox","cha","CWS","White Sox",145,28,59,0.322,"L 3",3.4,4.4,-1,0.1,-1,"33-54",-5,"5-8","6-17","8-16","9-18","19-24","9-35","2-4","5-21","21-46","7-13","15-28","13-31","4-6","5-15","10-20",53085,17968,12502,755,65489,2212,1595,1321,281,7821,89.8,90.72,1016,41,60.98,4.99,2,0.81,0.49,1.58823529411765,184.705882352941,0.516470588235294,5.33470588235294,41.8309,1.81470588235294,10.0058823529412,10.4135294117647,0.668823529411765
17017778,2025-07-04,2025-07-04,"6:10 PM","Fri","colorado-rockies","chicago-white-sox",0.9553885364,"Colorado Rockies","col","COL","Rockies",115,20,67,0.23,"W 1",3.6,6.1,-2.6,0.2,-2.3,"24-63",-4,"9-20","2-10","5-20","4-17","9-34","11-33","1-5","9-14","17-44","3-23","8-48","12-19","3-7","8-12","11-19",33805,20800,5116,3969,79436,1381,1386,783,919,11916,81.07,80.6,1010,39,53.8,19.1,44,0.39,10.19,2,75.4414285714286,0.0342857142857143,0.145714285714286,39.757,0.0742857142857143,2.35857142857143,4.59714285714286,0.375714285714286
17017779,2025-07-04,2025-07-05,"7:10 PM","Sat","colorado-rockies","chicago-white-sox",0.9306690697,"Colorado Rockies","col","COL","Rockies",115,20,67,0.23,"W 1",3.6,6.1,-2.6,0.2,-2.3,"24-63",-4,"9-20","2-10","5-20","4-17","9-34","11-33","1-5","9-14","17-44","3-23","8-48","12-19","3-7","8-12","11-19",33805,20800,5116,3969,79436,1381,1386,783,919,11916,92.01,87.67,1011,13,33.69,19.26,1,1,11.2,1.54166666666667,77.185,0.1025,1.495,39.757,0.0779166666666667,4.68,15.6204166666667,1.97875
17017780,2025-07-04,2025-07-06,"1:10 PM","Sun","colorado-rockies","chicago-white-sox",0.8681639163,"Colorado Rockies","col","COL","Rockies",115,20,67,0.23,"W 1",3.6,6.1,-2.6,0.2,-2.3,"24-63",-4,"9-20","2-10","5-20","4-17","9-34","11-33","1-5","9-14","17-44","3-23","8-48","12-19","3-7","8-12","11-19",33805,20800,5116,3969,79436,1381,1386,783,919,11916,93.11,88.54,1009,8,23.68,17.16,0,0,11.06,1.70833333333333,72.88,0.07875,1.12916666666667,39.757,0.155833333333333,4.06541666666667,12.5975,1.72458333333333
17017904,2025-07-04,2025-07-07,"6:40 PM","Mon","kansas-city-royals","pittsburgh-pirates",0.8464069629,"Kansas City Royals","kca","KC","Royals",118,41,47,0.466,"W 1",3.3,3.7,-0.4,0,-0.4,"40-48",1,"8-13","13-14","8-8","12-12","20-24","21-23","4-3","14-14","33-40","8-7","19-31","22-16","3-7","7-13","11-19",8768,3850,4272,33,40829,1089,700,948,32,6164,88.11,95.38,1016,60,72.36,9.48,82,1,9.54,1.375,128.010416666667,0.145833333333333,2.98083333333333,39.1022,0.347083333333333,4.07083333333333,4.27625,1.29458333333333
17017905,2025-07-04,2025-07-08,"6:40 PM","Tue","kansas-city-royals","pittsburgh-pirates",0.8228546463,"Kansas City Royals","kca","KC","Royals",118,41,47,0.466,"W 1",3.3,3.7,-0.4,0,-0.4,"40-48",1,"8-13","13-14","8-8","12-12","20-24","21-23","4-3","14-14","33-40","8-7","19-31","22-16","3-7","7-13","11-19",8768,3850,4272,33,40829,1089,700,948,32,6164,90.01,96.51,1016,54,70.97,12.28,88,1,0.26,1.05882352941176,130.280588235294,0.203529411764706,3.37235294117647,39.1022,0.221764705882353,2.35176470588235,2.47764705882353,1.31764705882353
17018227,2025-07-04,2025-07-04,"3:10 PM","Fri","new-york-mets","new-york-yankees",0.975532039,"New York Mets","nyn","NYM","Mets",121,50,38,0.568,"W 2",4.3,3.9,0.4,-0.1,0.4,"48-40",2,"15-11","11-8","13-6","11-13","31-13","19-25","4-4","16-12","39-28","11-10","22-16","28-22","4-6","6-14","14-16",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426,80.24,80.44,1017,44,56.37,11.41,16,0,8.41,2.71428571428571,156.981428571429,0.365714285714286,2.52857142857143,40.7554,1.36571428571429,8.20571428571429,8.59571428571429,0.341428571428571
17018230,2025-07-04,2025-07-05,"4:10 PM","Sat","new-york-mets","new-york-yankees",0.950165652,"New York Mets","nyn","NYM","Mets",121,50,38,0.568,"W 2",4.3,3.9,0.4,-0.1,0.4,"48-40",2,"15-11","11-8","13-6","11-13","31-13","19-25","4-4","16-12","39-28","11-10","22-16","28-22","4-6","6-14","14-16",116469,31219,10511,48355,62254,4513,2783,1641,3619,3426,82.69,80.98,1021,30,48.15,12.3,100,0,8.94,2,189.404166666667,0.6275,7.42416666666667,40.7554,1.12666666666667,9.59375,10.5183333333333,0.423333333333333
