"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
17017500,2025-07-11,2025-07-11,"7:05 PM","Fri","baltimore-orioles","miami-marlins",0.9176853116,"Baltimore Orioles","bal","BAL","Orioles",110,42,50,0.457,"W 2",4.2,5,-0.8,0.1,-0.7,"38-54",4,"13-13","8-16","11-7","10-14","21-23","21-27","3-4","12-10","30-34","12-16","22-25","20-25","7-3","11-9","17-13",17773,5834,9509,18,40932,1421,727,1010,22,8701,88.27,97.7,1016,64,74.53,7.65,40,0.33,9.77,2.71428571428571,153.027142857143,0.28,2.17,39.2852,0.628571428571429,7.64857142857143,7.85857142857143,0.144285714285714
17017503,2025-07-11,2025-07-12,"4:05 PM","Sat","baltimore-orioles","miami-marlins",0.9247828515,"Baltimore Orioles","bal","BAL","Orioles",110,42,50,0.457,"W 2",4.2,5,-0.8,0.1,-0.7,"38-54",4,"13-13","8-16","11-7","10-14","21-23","21-27","3-4","12-10","30-34","12-16","22-25","20-25","7-3","11-9","17-13",17773,5834,9509,18,40932,1421,727,1010,22,8701,88.03,93.04,1017,55,68.95,9.89,3,0.82,10.25,2.04166666666667,169.480416666667,0.352916666666667,3.70375,39.2852,0.612916666666667,10.86375,11.3341666666667,0.215416666666667
17017504,2025-07-11,2025-07-13,"1:35 PM","Sun","baltimore-orioles","miami-marlins",0.8731516452,"Baltimore Orioles","bal","BAL","Orioles",110,42,50,0.457,"W 2",4.2,5,-0.8,0.1,-0.7,"38-54",4,"13-13","8-16","11-7","10-14","21-23","21-27","3-4","12-10","30-34","12-16","22-25","20-25","7-3","11-9","17-13",17773,5834,9509,18,40932,1421,727,1010,22,8701,86.22,91.89,1017,61,70.61,9.91,41,1,10.25,2,155.906666666667,0.152916666666667,3.06208333333333,39.2852,0.683333333333333,10.6091666666667,10.9479166666667,0.137083333333333
17017664,2025-07-11,2025-07-11,"2:10 PM","Fri","chicago-white-sox","cleveland-guardians",0.9461793879,"Chicago White Sox","cha","CWS","White Sox",145,31,62,0.333,"W 1",3.4,4.4,-1,0,-0.9,"36-57",-5,"6-10","6-17","8-16","11-19","20-26","11-36","2-4","7-21","23-49","8-13","18-32","13-30","4-6","8-12","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,83.7,89.53,1013,69,72.45,11.01,75,1,9.72,2,114.405714285714,0.122857142857143,0.952857142857143,41.8309,1.52285714285714,6.46857142857143,6.76285714285714,0.564285714285714
17017667,2025-07-11,2025-07-11,"7:10 PM","Fri","chicago-white-sox","cleveland-guardians",0.9084584854,"Chicago White Sox","cha","CWS","White Sox",145,31,62,0.333,"W 1",3.4,4.4,-1,0,-0.9,"36-57",-5,"6-10","6-17","8-16","11-19","20-26","11-36","2-4","7-21","23-49","8-13","18-32","13-30","4-6","8-12","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,83.7,89.53,1013,69,72.45,11.01,75,1,9.72,2,114.405714285714,0.122857142857143,0.952857142857143,41.8309,1.52285714285714,6.46857142857143,6.76285714285714,0.564285714285714
17017669,2025-07-11,2025-07-12,"3:10 PM","Sat","chicago-white-sox","cleveland-guardians",0.8882015464,"Chicago White Sox","cha","CWS","White Sox",145,31,62,0.333,"W 1",3.4,4.4,-1,0,-0.9,"36-57",-5,"6-10","6-17","8-16","11-19","20-26","11-36","2-4","7-21","23-49","8-13","18-32","13-30","4-6","8-12","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,77.31,78.58,1011,82,71.49,9.13,100,1,8.71,1.16666666666667,125.237916666667,0.0795833333333333,2.82375,41.8309,1.05333333333333,4.27875,4.43125,0.524166666666667
17017670,2025-07-11,2025-07-13,"1:10 PM","Sun","chicago-white-sox","cleveland-guardians",0.8739282844,"Chicago White Sox","cha","CWS","White Sox",145,31,62,0.333,"W 1",3.4,4.4,-1,0,-0.9,"36-57",-5,"6-10","6-17","8-16","11-19","20-26","11-36","2-4","7-21","23-49","8-13","18-32","13-30","4-6","8-12","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,79.9,79.9,1016,46,57.47,7.2,75,0,5.41,1.625,255.512916666667,0.1675,2.46666666666667,41.8309,0.73,6.41708333333333,6.51791666666667,0.734166666666667
17017910,2025-07-11,2025-07-11,"7:10 PM","Fri","kansas-city-royals","new-york-mets",0.9134472279,"Kansas City Royals","kca","KC","Royals",118,46,48,0.489,"W 4",3.4,3.6,-0.2,0.1,-0.2,"44-50",2,"8-13","13-14","8-8","17-13","23-24","23-24","4-3","16-14","35-41","11-7","20-33","26-15","7-3","10-10","13-17",8768,3850,4272,33,40829,1089,700,948,32,6164,90.75,99.18,1008,56,72.9,18.03,10,0.43,8.45,2,112.881428571429,0.111428571428571,1.01428571428571,39.1022,0.685714285714286,3.53142857142857,3.97142857142857,1.18142857142857
17017911,2025-07-11,2025-07-12,"3:10 PM","Sat","kansas-city-royals","new-york-mets",0.9008445374,"Kansas City Royals","kca","KC","Royals",118,46,48,0.489,"W 4",3.4,3.6,-0.2,0.1,-0.2,"44-50",2,"8-13","13-14","8-8","17-13","23-24","23-24","4-3","16-14","35-41","11-7","20-33","26-15","7-3","10-10","13-17",8768,3850,4272,33,40829,1089,700,948,32,6164,85.89,88.59,1014,53,66.58,10.6,58,0.34,6.37,1.33333333333333,117.3775,0.10875,2.2525,39.1022,0.965,3.70375,3.97041666666667,1.18333333333333
17017913,2025-07-11,2025-07-13,"1:10 PM","Sun","kansas-city-royals","new-york-mets",0.8817795461,"Kansas City Royals","kca","KC","Royals",118,46,48,0.489,"W 4",3.4,3.6,-0.2,0.1,-0.2,"44-50",2,"8-13","13-14","8-8","17-13","23-24","23-24","4-3","16-14","35-41","11-7","20-33","26-15","7-3","10-10","13-17",8768,3850,4272,33,40829,1089,700,948,32,6164,77.85,78.48,1017,67,66.04,8.77,100,1,7.74,1.33333333333333,137.582083333333,0.137916666666667,2.93791666666667,39.1022,0.498333333333333,4.76958333333333,4.9325,1.57291666666667
