"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6102887,"Regular Season",2024-05-15,2024-05-18,"1:05 PM","Sat","new-york-yankees","chicago-white-sox",987,123,38,1704,4083,"New York Yankees","nya","NYY","Yankees",147,28,15,0.651,"W 2",4.8,3.5,1.3,-0.2,1.2,"28-15",0,"8-8","6-1","8-3","6-3","13-6","15-9","1-3","9-4","22-9","6-6","9-5","19-10","8-2","13-7","18-12",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,64.69,63.59,1019,58,49.33,5.55,100,0.2,3.45,1.375,271.619166666667,0.7575,16.465,40.8198,2.50458333333333,5.68,8.55666666666667,0.485416666666667
6102890,"Regular Season",2024-05-15,2024-05-17,"7:05 PM","Fri","new-york-yankees","chicago-white-sox",717,174,68,1704,3354,"New York Yankees","nya","NYY","Yankees",147,28,15,0.651,"W 2",4.8,3.5,1.3,-0.2,1.2,"28-15",0,"8-8","6-1","8-3","6-3","13-6","15-9","1-3","9-4","22-9","6-6","9-5","19-10","8-2","13-7","18-12",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,71.89,70.84,1017,44,49.05,10.4,28,0,7.67,2.375,233.65,0.394583333333333,6.30583333333333,40.8198,1.20041666666667,4.79125,5.87791666666667,0.28
6102891,"Regular Season",2024-05-15,2024-05-19,"1:35 PM","Sun","new-york-yankees","chicago-white-sox",963,119,28,1858,4085,"New York Yankees","nya","NYY","Yankees",147,28,15,0.651,"W 2",4.8,3.5,1.3,-0.2,1.2,"28-15",0,"8-8","6-1","8-3","6-3","13-6","15-9","1-3","9-4","22-9","6-6","9-5","19-10","8-2","13-7","18-12",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,60.91,59.67,1017,63,48.43,10.47,100,0,0.12,1.52941176470588,320.827058823529,0.608235294117647,33.0394117647059,40.8198,5.03882352941176,5.70058823529412,10.1629411764706,0.631764705882353
6103157,"Regular Season",2024-05-15,2024-05-15,"6:40 PM","Wed","philadelphia-phillies","new-york-mets",536,67,30,369,1336,"Philadelphia Phillies","phi","PHI","Phillies",143,30,13,0.698,"W 2",5.2,3.6,1.6,-0.6,1,"28-15",2,"7-4","7-7","10-0","6-2","15-7","15-6","3-2","9-3","20-6","10-7","1-2","29-11","8-2","15-5","23-7",51010,30760,2048,3778,63497,2852,2014,518,1788,4981,62.91,62.89,1007,85,58.33,12.41,100,1,1.48,2,223.635714285714,0.408571428571429,7.30857142857143,39.9523,1.93714285714286,1.69142857142857,1.90571428571429,0.327142857142857
6103160,"Regular Season",2024-05-15,2024-05-16,"6:40 PM","Thu","philadelphia-phillies","new-york-mets",850,97,42,723,3575,"Philadelphia Phillies","phi","PHI","Phillies",143,30,13,0.698,"W 2",5.2,3.6,1.6,-0.6,1,"28-15",2,"7-4","7-7","10-0","6-2","15-7","15-6","3-2","9-3","20-6","10-7","1-2","29-11","8-2","15-5","23-7",51010,30760,2048,3778,63497,2852,2014,518,1788,4981,62.29,61.84,1007,77,54.88,13.31,100,0,0.98,2,238.795833333333,0.42,11.1070833333333,39.9523,2.08708333333333,2.22708333333333,2.575,0.279583333333333
6103161,"Regular Season",2024-05-15,2024-05-17,"6:40 PM","Fri","philadelphia-phillies","washington-nationals",201,187,71,636,645,"Philadelphia Phillies","phi","PHI","Phillies",143,30,13,0.698,"W 2",5.2,3.6,1.6,-0.6,1,"28-15",2,"7-4","7-7","10-0","6-2","15-7","15-6","3-2","9-3","20-6","10-7","1-2","29-11","8-2","15-5","23-7",51010,30760,2048,3778,63497,2852,2014,518,1788,4981,68.02,67.33,1017,60,53.51,8.7,99,0,7.56,2.20833333333333,256.180833333333,0.808333333333333,13.12375,39.9523,3.69,4.3075,5.35083333333333,0.670833333333333
6103164,"Regular Season",2024-05-15,2024-05-19,"1:35 PM","Sun","philadelphia-phillies","washington-nationals",500,129,58,603,1346,"Philadelphia Phillies","phi","PHI","Phillies",143,30,13,0.698,"W 2",5.2,3.6,1.6,-0.6,1,"28-15",2,"7-4","7-7","10-0","6-2","15-7","15-6","3-2","9-3","20-6","10-7","1-2","29-11","8-2","15-5","23-7",51010,30760,2048,3778,63497,2852,2014,518,1788,4981,53.42,52.97,1015,96,52.23,10.02,100,1,0.04,1.41176470588235,246.806470588235,1.18,15.4935294117647,39.9523,4.11,2.83470588235294,4.55882352941176,0.514117647058824
6103165,"Regular Season",2024-05-15,2024-05-18,"6:05 PM","Sat","philadelphia-phillies","washington-nationals",560,122,50,5755,1650,"Philadelphia Phillies","phi","PHI","Phillies",143,30,13,0.698,"W 2",5.2,3.6,1.6,-0.6,1,"28-15",2,"7-4","7-7","10-0","6-2","15-7","15-6","3-2","9-3","20-6","10-7","1-2","29-11","8-2","15-5","23-7",51010,30760,2048,3778,63497,2852,2014,518,1788,4981,56.19,55.65,1019,88,52.47,5.55,100,1,0.65,2,249.9225,0.529583333333333,13.60375,39.9523,3.70666666666667,3.55625,4.88708333333333,0.620416666666667
6103484,"Regular Season",2024-05-15,2024-05-15,"1:10 PM","Wed","san-diego-padres","colorado-rockies",626,41,11,733,1840,"San Diego Padres","sdn","SD","Padres",135,22,23,0.489,"L 2",4.7,4.4,0.3,0,0.2,"24-21",-2,"0-3","9-6","12-12","1-2","10-15","12-8","1-0","4-6","16-18","6-5","11-9","11-14","5-5","9-11","15-15",43096,29015,3421,2839,78092,2393,1868,599,1003,4597,61.7,61,1014,73,52.97,11.39,86,0,8.28,2,207.422857142857,0.468571428571429,4.69428571428571,32.7521,1.47857142857143,3.16571428571429,9.31571428571429,0.214285714285714
6103615,"Regular Season",2024-05-15,2024-05-15,"6:45 PM","Wed","san-francisco-giants","los-angeles-dodgers",683,571,44,5812,3330,"San Francisco Giants","sfn","SF","Giants",137,19,25,0.432,"L 2",3.8,4.9,-1.1,0,-1.1,"17-27",2,"5-8","4-2","8-11","2-4","11-10","8-15","1-2","5-6","15-18","4-7","1-11","18-14","4-6","8-12","14-16",28607,15278,1189,1196,164289,2221,1514,452,375,16291,60.33,59.54,1013,74,52.02,14.63,48,0,8.52,2.57142857142857,232.22,1.33857142857143,5.58857142857143,37.7799,2.65,5.30714285714286,13.8942857142857,0.401428571428571
